SampleN,SumTS,Li_S,Be_S,Na_S,Mg_S,K_S,Ca_S,Sc_S,Ti_S,V_S,Cr_S,Mn_S,Fe_S,Co_S,Ni_S,Cu_S,Zn_S,Ga_S,Ge_S,As_S,Rb_S,Sr_S,Y_S,Zr_S,Nb_S,Mo_S,Cd_S,Sn_S,Sb_S,Cs_S,Ba_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Hf_S,Pb_S,Th_S,AN,AP,AK,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilType,Longitude,Latitude,ALT_extract,Landscape,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin
E1_1_12,2.79884659,54.3825,2.7935,497.694,11101.5,9538.0,28202.5,10.719,1505.5,81.531,61.057,791.5,35027.5,13.7025,36.6615,24.6925,130.529,15.978,5.1415,18.454,66.0055,87.984,15.891,14.2545,3.837,0.861,0.164,2.5685,0.937,6.97,228.919,32.113,67.3655,7.4355,27.881,5.419,1.033,4.577,0.7535,3.21,0.7645,1.6485,1.316,0.6495,18.6845,10.6595,32.34,26.49,327.86,8.34,142.0,,,,,,Clay,107.436911,34.429406,741,Flat,0.407477975,4387.5,2949.199951,758.4000244,0.470562994,-1.299999952,24.39999962,40.16999817,-20.19000053
E1_1_14,11.424152,66.562,3.2605,672.232,13845.0,12953.0,35054.0,14.142,1840.5,106.353,78.227,976.5,43213.5,16.92,44.0225,29.353,122.416,19.7885,6.0625,22.657,89.314,115.8705,19.639,18.9,4.3535,0.9775,0.219,3.248,1.2775,8.8845,304.305,38.415,81.9575,8.9465,33.7295,6.5175,1.26,5.5145,0.8795,3.9005,0.883,1.978,1.609,0.7815,21.8475,12.954,12.32,25.01,331.96,8.4,140.3,,,,,,Clay,107.436911,34.429406,741,Flat,0.407477975,4387.5,2949.199951,758.4000244,0.470562994,-1.299999952,24.39999962,40.16999817,-20.19000053
E1_1_15,4.74767186,45.697,2.6415,392.6085,10680.5,6674.0,26974.0,9.6255,904.0,76.552,56.8335,825.0,33160.5,13.979,36.827,25.4595,93.573,15.2425,4.8695,19.5355,62.251,85.3855,15.597,6.618,3.5,1.0515,0.181,2.655,1.2615,6.9455,215.6165,29.986,63.7885,7.0545,26.5605,5.2265,1.0055,4.394,0.7365,3.1155,0.747,1.5895,1.274,0.4385,18.327,9.597,43.12,20.77,332.18,8.37,144.5,,,,,,Clay,107.436911,34.429406,741,Flat,0.407477975,4387.5,2949.199951,758.4000244,0.470562994,-1.299999952,24.39999962,40.16999817,-20.19000053
E1_2_1,1.15542421,40.606,1.7635,386.001,11160.5,7690.5,54139.0,8.9175,1368.0,67.94,49.261,733.5,32580.0,12.238,31.3985,20.6525,79.0835,13.433,4.1475,14.59,55.643,95.8315,14.2575,13.0065,4.014,0.882,0.209,3.03,0.463,6.5165,218.5435,28.9665,61.704,6.845,25.9055,5.1875,0.9675,4.4255,0.5705,3.1185,0.55,1.5115,1.26,0.3555,16.414,10.0225,38.5,9.51,226.3,8.01,173.1,,,,,,Roam,107.26334,34.521798,910,Flat,0.394532025,4203.5,2800.699951,741.0,0.480845004,-1.899999976,23.79999924,39.54999924,-20.92000008
E1_2_2,0.86616983,38.744,1.822,301.5735,6709.0,5779.0,4166.0,8.0305,894.0,64.4795,51.5525,491.0,26085.0,12.406,33.0695,18.3585,75.6605,15.6395,5.284,9.7825,48.6095,32.6615,13.28,12.692,3.013,1.0465,0.2835,2.3245,0.3645,4.426,198.87,30.101,64.6905,6.9715,25.539,4.862,0.891,3.9665,0.4895,2.548,0.4335,1.1505,0.8835,0.262,13.6015,8.012,38.5,9.71,185.96,8.11,142.9,,,,,,Roam,107.26334,34.521798,910,Flat,0.394532025,4203.5,2800.699951,741.0,0.480845004,-1.899999976,23.79999924,39.54999924,-20.92000008
E1_2_3,1.39809808,38.1015,1.9305,374.0385,10548.5,6864.0,72251.5,8.53,1330.0,66.3325,48.559,712.5,31828.5,11.7705,29.6815,18.842,58.238,13.15,3.8315,13.5955,53.3815,97.371,13.9375,13.94,3.715,0.7755,0.172,2.6285,0.3835,6.3785,211.7135,29.4035,62.4245,6.8805,25.816,5.13,0.954,4.3615,0.5565,3.0415,0.533,1.4565,1.211,0.4525,14.435,10.2925,32.34,16.62,134.68,8.33,154.1,,,,,,Roam,107.26334,34.521798,910,Flat,0.394532025,4203.5,2800.699951,741.0,0.480845004,-1.899999976,23.79999924,39.54999924,-20.92000008
E1_2_4,8.20584125,38.529,1.496,363.731,10524.0,6611.5,52983.5,8.073,1209.5,62.685,45.6345,676.5,29804.0,11.5325,29.4315,19.4445,59.2445,12.736,3.7725,13.5545,51.219,97.899,13.69,11.8015,3.8885,0.8045,0.192,2.522,0.401,6.2745,210.648,28.805,60.9745,6.768,25.4935,5.093,0.9415,4.3085,0.552,3.0005,0.53,1.4455,1.2005,0.3115,15.2555,9.914,52.36,11.98,174.86,8.17,163.9,,,,,,Roam,107.26334,34.521798,910,Flat,0.394532025,4203.5,2800.699951,741.0,0.480845004,-1.899999976,23.79999924,39.54999924,-20.92000008
E1_2_5,1.10455522,43.558,1.3755,399.551,12146.0,6936.0,65113.0,9.3675,1392.5,72.238,54.398,767.0,33930.0,13.158,33.878,22.01,64.033,14.4155,4.3395,15.246,56.6075,119.0315,15.738,14.6495,4.3915,0.8905,0.197,2.72,0.425,6.9415,233.695,32.882,69.915,7.755,29.2545,5.837,1.0645,4.9325,0.6325,3.4515,0.6,1.6455,1.36,0.4275,16.4305,11.8355,27.72,9.51,165.02,8.28,125.5,,,,,,Roam,107.26334,34.521798,910,Flat,0.394532025,4203.5,2800.699951,741.0,0.480845004,-1.899999976,23.79999924,39.54999924,-20.92000008
E1_2_6,1.14393954,50.538,2.2075,579.7765,12859.5,10761.0,59329.0,11.4305,1682.0,85.3845,61.123,824.5,36637.5,13.3125,33.764,21.9835,63.965,16.3185,4.715,15.089,72.7655,116.888,16.9165,18.116,4.693,0.954,0.2275,4.2365,1.0475,7.582,284.7055,34.2435,72.9545,8.079,30.2445,5.973,1.1045,5.118,0.6645,3.6405,0.644,1.7735,1.485,0.5835,17.7955,11.9745,58.52,10.01,198.15,8.18,188.6,,,,,,Roam,107.26334,34.521798,910,Flat,0.394532025,4203.5,2800.699951,741.0,0.480845004,-1.899999976,23.79999924,39.54999924,-20.92000008
E1_2_7,1.69337159,45.31,1.8885,401.845,11096.0,8029.5,54610.5,9.492,1399.5,72.683,54.0255,756.5,33812.5,12.7855,33.268,21.2635,62.838,14.7735,4.0945,14.9055,60.5635,90.411,15.2925,14.763,4.18,0.9035,0.2005,2.805,0.444,7.0985,238.594,32.0645,68.3745,7.568,28.438,5.6875,1.0475,4.797,0.616,3.3685,0.591,1.6305,1.351,0.443,16.7685,11.295,53.9,13.66,169.56,8.23,144.0,,,,,,Roam,107.26334,34.521798,910,Flat,0.394532025,4203.5,2800.699951,741.0,0.480845004,-1.899999976,23.79999924,39.54999924,-20.92000008
E1_2_8,5.73956907,42.0715,1.5605,405.731,11651.5,7290.0,58830.5,8.8545,1361.0,69.0955,49.038,747.5,33144.5,12.199,31.2085,20.4705,67.147,13.7765,4.111,14.872,57.3575,104.967,14.782,13.385,3.983,0.8595,0.1895,2.738,0.5825,6.7385,232.2585,30.8075,65.5155,7.2965,27.374,5.486,0.9975,4.6335,0.594,3.2405,0.5645,1.546,1.292,0.373,15.9905,11.206,35.42,6.95,162.83,8.26,148.2,,,,,,Roam,107.26334,34.521798,910,Flat,0.394532025,4203.5,2800.699951,741.0,0.480845004,-1.899999976,23.79999924,39.54999924,-20.92000008
E1_2_9,2.84290919,42.1355,1.9925,377.844,8470.5,5032.0,48868.0,8.9515,1031.5,68.5645,49.894,564.5,25103.0,12.1915,30.753,19.769,56.146,13.41,3.79,13.812,54.2375,100.427,14.488,14.22,4.1015,0.8035,0.1675,2.709,0.3615,6.5735,219.6935,29.198,62.278,6.8875,25.9265,5.2395,0.9645,4.464,0.578,3.1635,0.5605,1.529,1.2775,0.46,15.034,10.2775,26.18,6.75,175.07,8.32,144.0,,,,,,Roam,107.26334,34.521798,910,Flat,0.394532025,4203.5,2800.699951,741.0,0.480845004,-1.899999976,23.79999924,39.54999924,-20.92000008
E1_2_10,2.38185324,40.2095,1.7895,366.1025,10588.0,6910.0,58305.0,8.303,1332.5,63.963,46.9275,709.5,32200.0,11.1415,28.6085,18.0265,53.703,12.685,3.58,13.1635,53.8925,85.4045,13.2525,13.529,3.5505,0.7725,0.1615,2.6315,0.3725,6.294,213.119,27.792,58.86,6.545,24.437,4.8795,0.896,4.129,0.535,2.921,0.5145,1.4145,1.1735,0.4525,14.125,9.8055,33.88,14.05,146.38,8.26,157.3,,,,,,Roam,107.26334,34.521798,910,Flat,0.394532025,4203.5,2800.699951,741.0,0.480845004,-1.899999976,23.79999924,39.54999924,-20.92000008
E1_2_11,1.70061617,39.712,1.798,375.4865,11169.5,7504.5,58902.0,8.634,1343.5,67.908,49.518,744.0,32996.5,12.0365,31.243,20.178,65.436,13.8525,3.9615,15.254,56.7465,97.7625,14.175,11.7635,3.5855,0.807,0.1875,3.0285,1.1585,6.691,229.011,30.338,64.512,7.224,27.081,5.4055,0.99,4.5315,0.5815,3.1455,0.5455,1.496,1.2595,0.342,15.547,10.4545,56.98,7.54,167.49,8.25,168.6,,,,,,Roam,107.26334,34.521798,910,Flat,0.394532025,4203.5,2800.699951,741.0,0.480845004,-1.899999976,23.79999924,39.54999924,-20.92000008
E1_2_12,1.61072866,55.143,2.535,538.4325,11990.5,10031.5,31250.5,11.95,1603.5,89.9485,66.1,876.5,37871.0,14.88,38.8065,26.622,83.4945,18.1005,5.2675,18.231,80.959,121.2345,18.2005,17.3055,4.6045,0.9745,0.275,3.9855,0.7175,8.441,297.249,36.3295,77.428,8.558,31.9435,6.3975,1.1835,5.4045,0.7,3.8115,0.6705,1.8455,1.535,0.5165,22.0615,12.7115,69.3,11.88,199.04,8.29,172.6,,,,,,Roam,107.26334,34.521798,910,Flat,0.394532025,4203.5,2800.699951,741.0,0.480845004,-1.899999976,23.79999924,39.54999924,-20.92000008
E1_2_13,4.66326434,60.6135,2.5935,652.0205,2814.5,2099.5,6783.5,13.5425,365.0,99.542,69.2425,199.0,8309.5,15.981,39.9985,27.757,125.867,19.448,5.2655,19.159,88.2915,108.3845,19.2905,18.75,3.976,1.163,0.2625,3.9725,1.095,8.756,302.381,37.9395,78.3435,8.5195,33.292,6.509,1.2025,5.419,0.687,3.8435,0.662,1.8665,1.5315,0.5205,19.954,12.7755,58.52,12.28,216.66,8.22,171.5,,,,,,Roam,107.26334,34.521798,910,Flat,0.394532025,4203.5,2800.699951,741.0,0.480845004,-1.899999976,23.79999924,39.54999924,-20.92000008
E1_2_14,1.12318879,40.0645,1.7145,369.0775,10804.0,6435.5,52901.5,8.4115,1304.0,65.3885,47.1375,713.5,31390.0,11.7795,29.985,19.787,59.38,13.236,3.784,13.669,54.544,95.6475,14.0945,13.0725,3.9395,0.8885,0.186,2.7785,0.3715,6.4945,216.731,28.87,61.591,6.809,25.667,5.184,0.9535,4.4165,0.5685,3.1015,0.5425,1.474,1.2365,0.364,15.509,10.341,53.9,6.85,155.62,8.17,147.7,,,,,,Roam,107.26334,34.521798,910,Flat,0.394532025,4203.5,2800.699951,741.0,0.480845004,-1.899999976,23.79999924,39.54999924,-20.92000008
E1_2_15,2.63548827,48.372,2.1945,457.615,8757.0,6325.0,38481.5,10.1975,1146.0,78.5675,56.292,606.5,26864.0,13.3125,33.869,21.442,69.137,15.525,4.448,15.8885,66.0145,93.1285,15.525,15.936,4.32,0.8915,0.1765,3.223,0.478,7.347,255.4675,31.981,68.298,7.5295,28.3225,5.6685,1.0385,4.778,0.619,3.374,0.592,1.6255,1.3635,0.5055,16.614,11.158,60.06,7.24,191.52,8.31,145.2,,,,,,Roam,107.26334,34.521798,910,Flat,0.394532025,4203.5,2800.699951,741.0,0.480845004,-1.899999976,23.79999924,39.54999924,-20.92000008
E1_2_16,2.2543148,43.5425,1.8235,449.0065,11626.5,7782.0,52735.0,9.2505,1330.5,71.054,52.003,730.5,32609.0,12.3775,31.625,20.983,62.611,14.3255,4.1845,14.6975,62.733,106.087,14.2585,14.6865,3.8385,0.819,0.1785,2.839,0.634,6.965,251.026,30.023,63.633,7.0185,26.3795,5.2585,0.98,4.4855,0.5755,3.12,0.547,1.5,1.2475,0.4715,15.5575,10.6775,40.04,11.59,174.96,8.19,149.2,,,,,,Roam,107.26334,34.521798,910,Flat,0.394532025,4203.5,2800.699951,741.0,0.480845004,-1.899999976,23.79999924,39.54999924,-20.92000008
E1_3_1,1.05125752,51.3805,2.625,383.46,13466.5,8413.5,31096.0,9.8205,1510.5,76.2055,56.47,967.0,42239.5,14.8555,38.5265,25.464,98.148,15.1825,5.08,19.1925,58.459,74.426,16.742,10.3865,4.2565,0.753,0.166,2.5255,0.753,7.13,222.8805,35.1545,75.713,8.289,31.4695,6.11,1.1505,5.159,0.827,3.577,0.8275,1.819,1.478,0.518,20.672,12.0605,83.16,17.31,242.13,8.19,179.1,,,,,,Clay,107.303211,34.507115,793,Flat,0.409892023,4333.299805,2907.399902,755.0,0.468647003,-1.5,24.20000076,40.08000183,-20.45000076
E1_3_2,2.95721996,52.479,2.107,397.313,11660.0,8558.0,26761.5,10.375,1494.5,80.114,59.019,861.5,37433.5,16.102,40.431,27.424,138.43,16.7685,5.299,18.74,61.654,75.363,17.186,8.379,4.2475,1.1005,0.24,2.9065,1.0775,7.3945,228.555,34.796,73.257,8.0225,30.701,5.9365,1.095,5.0435,0.6435,3.4305,0.6025,1.635,1.348,0.1535,20.1235,10.5985,70.84,18.69,287.96,7.9,165.8,,,,,,Clay,107.303211,34.507115,793,Flat,0.409892023,4333.299805,2907.399902,755.0,0.468647003,-1.5,24.20000076,40.08000183,-20.45000076
E1_3_3,3.83958773,66.488,2.4905,585.789,13931.0,12024.0,32036.0,13.9435,1649.0,105.9715,75.33,999.5,43510.0,18.906,47.072,31.862,113.202,20.7025,6.4595,21.5685,81.551,93.4625,20.4345,14.6695,4.9695,1.3275,0.287,3.473,0.9725,8.7555,281.9435,40.297,84.042,9.2805,34.981,6.763,1.2395,5.667,0.7245,3.858,0.675,1.8375,1.523,0.277,21.073,12.1915,78.54,13.36,272.88,7.99,151.7,,,,,,Clay,107.303211,34.507115,793,Flat,0.409892023,4333.299805,2907.399902,755.0,0.468647003,-1.5,24.20000076,40.08000183,-20.45000076
E1_3_4,4.64433095,56.31,1.99,451.107,12207.5,9594.0,29520.5,11.395,1543.0,87.439,63.5725,898.5,38549.0,16.934,41.9195,28.9745,120.0035,17.716,5.699,19.5075,66.4695,80.97,17.973,10.781,4.844,1.101,0.2875,2.9855,0.795,7.673,240.467,36.492,77.1805,8.485,31.914,6.1845,1.146,5.245,0.6715,3.58,0.62,1.6945,1.4015,0.2025,20.589,11.3065,69.3,15.24,299.41,8.09,141.8,,,,,,Clay,107.303211,34.507115,793,Flat,0.409892023,4333.299805,2907.399902,755.0,0.468647003,-1.5,24.20000076,40.08000183,-20.45000076
E1_3_5,4.0350139,54.76,2.1745,484.78,13248.0,9702.5,31785.0,11.1945,1469.0,87.4755,64.643,982.0,41949.5,17.6825,43.8315,30.11,105.3285,17.8075,5.6395,20.315,65.4635,86.5505,18.689,7.411,4.6355,1.367,0.2865,3.0085,1.171,7.826,243.615,37.2635,78.8115,8.6835,32.897,6.403,1.172,5.389,0.6875,3.6665,0.6435,1.747,1.437,0.1365,22.1125,11.3505,92.4,16.72,308.41,7.87,246.4,,,,,,Clay,107.303211,34.507115,793,Flat,0.409892023,4333.299805,2907.399902,755.0,0.468647003,-1.5,24.20000076,40.08000183,-20.45000076
E1_3_6,1.81668113,56.32,3.14,494.743,12477.0,9904.5,28587.0,11.492,1491.0,87.8525,63.646,899.0,39008.0,15.3425,40.1355,26.507,102.0785,17.153,5.4945,20.1725,70.889,88.4015,17.9295,13.5345,4.3635,0.8545,0.2145,2.7005,1.023,7.775,255.082,37.3655,79.0015,8.693,32.624,6.31,1.1945,5.3235,0.854,3.705,0.8455,1.8805,1.5295,0.5925,21.3885,12.826,78.54,19.78,320.52,8.06,160.5,,,,,,Clay,107.303211,34.507115,793,Flat,0.409892023,4333.299805,2907.399902,755.0,0.468647003,-1.5,24.20000076,40.08000183,-20.45000076
E1_3_7,5.89870751,53.207,2.116,437.018,12177.0,9497.5,26367.0,11.0185,1305.5,85.0595,62.588,884.5,37841.5,16.353,40.9715,27.574,89.0355,17.3175,5.5965,18.894,64.096,79.591,17.577,11.194,4.817,1.012,0.257,2.878,0.583,7.416,233.779,35.456,74.3375,8.1045,30.656,5.968,1.092,5.0175,0.634,3.379,0.595,1.6305,1.3355,0.203,19.043,10.8445,81.62,15.83,260.44,8.0,167.8,,,,,,Clay,107.303211,34.507115,793,Flat,0.409892023,4333.299805,2907.399902,755.0,0.468647003,-1.5,24.20000076,40.08000183,-20.45000076
E1_3_8,2.60062611,52.4815,2.7605,443.1925,12449.0,8645.5,27873.5,10.5905,1472.5,82.1985,60.1055,881.0,39202.0,15.1805,39.6815,26.0245,112.337,16.064,5.279,19.672,64.257,74.5275,17.0035,10.6885,4.238,1.113,0.188,2.595,0.9355,7.567,238.6525,35.205,75.999,8.3125,31.558,6.132,1.1595,5.188,0.835,3.623,0.8335,1.8335,1.487,0.517,20.859,12.7305,83.16,12.97,278.52,7.92,198.2,,,,,,Clay,107.303211,34.507115,793,Flat,0.409892023,4333.299805,2907.399902,755.0,0.468647003,-1.5,24.20000076,40.08000183,-20.45000076
E1_3_9,1.39874183,58.344,2.5465,431.7205,13296.5,9905.5,29899.0,11.5265,1415.5,88.1615,63.7845,965.5,41273.0,17.181,42.7915,28.68,92.4625,17.48,5.5635,19.724,65.566,75.9115,17.9905,11.8515,4.5755,1.0905,0.2475,2.894,0.611,7.6905,236.58,35.2045,73.8795,8.121,30.6815,5.9975,1.1125,5.1195,0.6505,3.447,0.6065,1.664,1.366,0.227,19.3465,10.9375,69.3,17.11,258.35,7.94,155.7,,,,,,Clay,107.303211,34.507115,793,Flat,0.409892023,4333.299805,2907.399902,755.0,0.468647003,-1.5,24.20000076,40.08000183,-20.45000076
E1_3_10,1.68013707,56.665,2.6165,443.943,14458.0,9390.0,39414.5,11.224,1515.0,86.5965,64.351,957.0,41832.0,16.3435,42.443,28.1425,98.6505,16.723,5.5815,20.668,66.7325,84.3625,18.0155,12.001,4.5265,0.8655,0.1725,2.7315,0.8405,7.9365,247.732,37.3125,79.18,8.647,32.7105,6.414,1.207,5.4115,0.8605,3.765,0.8575,1.897,1.5385,0.5475,21.636,13.1355,69.3,20.27,283.52,8.13,157.4,,,,,,Clay,107.303211,34.507115,793,Flat,0.409892023,4333.299805,2907.399902,755.0,0.468647003,-1.5,24.20000076,40.08000183,-20.45000076
E1_3_11,1.28263163,58.145,2.5645,488.195,12769.0,10389.5,28306.0,12.145,1421.5,93.3845,67.663,929.0,39876.5,17.241,43.366,29.04,88.7875,18.5185,5.8155,20.021,70.8545,85.6915,18.377,13.3395,4.7095,1.013,0.2405,3.0995,0.6705,7.9595,251.8585,36.358,75.365,8.302,31.3255,6.118,1.114,5.1275,0.6595,3.53,0.6175,1.697,1.3925,0.25,19.4015,11.23,75.46,12.97,215.44,8.16,153.0,,,,,,Clay,107.303211,34.507115,793,Flat,0.409892023,4333.299805,2907.399902,755.0,0.468647003,-1.5,24.20000076,40.08000183,-20.45000076
E1_3_12,0.66807115,62.27,2.8505,599.671,12757.0,11706.5,28600.5,13.55,1636.0,101.5165,74.868,908.5,40194.0,18.1495,45.508,30.4225,154.028,20.6015,5.9805,20.8915,83.967,96.883,19.7755,15.5875,4.242,1.1065,0.26,3.351,1.235,8.6835,292.426,38.5915,80.2365,8.844,33.4765,6.506,1.214,5.4905,0.6995,3.783,0.667,1.825,1.515,0.324,21.018,11.559,77.0,15.14,269.84,8.02,143.4,,,,,,Clay,107.303211,34.507115,793,Flat,0.409892023,4333.299805,2907.399902,755.0,0.468647003,-1.5,24.20000076,40.08000183,-20.45000076
