SampleN,AN,AP,AK,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilType,SumTS
A2_2_5,214.291,7.985944737,145.15,6.53,40.2,14.3,3.86,18.16,1108.0454,8.535753887,Roam,3.59956276
A2_2_6,189.728,6.78913738,69.55,6.4,50.5,14.99,3.75,18.74,1304.8882,16.87691165,Roam,3.67175536
A2_2_7,215.985,5.083529365,111.55,6.47,39.5,17.43,3.2,20.63,901.3774,17.9749401,Roam,5.87284298
A2_2_8,140.602,7.972256547,49.75,6.71,40.5,14.12,4.96,19.08,994.8862,13.14539441,Roam,4.73170575
A2_2_9,214.291,18.38823153,100.95,6.46,54.1,10.51,4.16,14.67,1272.3634,13.09895267,Roam,7.20263991
A2_2_10,186.34,20.56709265,78.9,6.5,55.4,11.11,3.26,14.37,1544.081,19.21836539,Roam,4.22274933
A2_2_11,217.8484,6.989097009,77.05,6.53,46.7,11.69,4.24,15.93,1141.9254,19.21327004,Roam,6.40604933
A2_2_12,121.968,6.592352871,107.5,6.55,45.3,9.03,4.07,13.1,981.1648,19.72822132,Roam,4.55281768
A2_2_13,162.624,5.387286005,153.55,5.93,44.6,12.19,4.38,16.57,1165.6414,14.26015713,Roam,5.69708636
A2_2_14,259.182,16.56025539,93.0,5.41,52.2,11.34,4.91,16.25,1213.5816,17.10848448,Roam,5.785083
A2_2_15,217.8484,12.09032774,88.1,6.03,53.7,9.18,6.65,15.83,1131.7614,18.83665147,Roam,6.96029029
A2_3_1,249.018,27.02433187,193.2,5.72,83.5,7.69,3.31,11.0,1289.3034,14.89564517,Sandy,11.1553562
A2_3_4,226.996,31.29360175,93.25,6.14,86.6,7.64,6.96,14.6,1034.5258,22.18889714,Sandy,10.1387645
A2_3_5,137.214,15.08129919,86.05,6.43,72.7,5.85,5.34,11.19,786.5242,11.81728636,Sandy,5.70933502
A2_3_6,214.291,19.27378765,86.75,6.49,161.2,6.35,3.92,10.27,543.9434,17.88801228,Sandy,4.93086006
A2_3_7,186.34,28.94558231,171.4,6.44,108.0,8.08,6.36,14.44,1225.609,28.42837072,Sandy,11.1689683
A2_3_8,267.652,30.13370585,66.15,6.4,75.7,7.95,3.11,11.06,808.2074,29.42315858,Sandy,8.65291963
A2_3_9,250.712,32.8934253,134.15,7.04,104.9,9.94,6.3,16.24,1117.193,23.98251014,Sandy,5.91388446
A2_3_10,326.2644,36.8763991,216.55,7.12,136.5,8.82,16.02,24.84,1284.2214,16.39467303,Sandy,1.50115556
A2_3_11,118.4106,31.86431197,66.95,6.96,97.3,5.79,4.94,10.73,960.498,22.77921955,Sandy,2.69239932
A2_3_12,254.1,25.34019713,103.9,6.61,72.6,8.05,3.32,11.37,972.5254,19.58504446,Sandy,18.4061108
A2_3_13,257.488,25.61597959,109.45,7.15,112.4,3.79,4.04,7.83,963.886,18.0954457,Sandy,10.8818458
A2_3_14,265.958,20.94219953,92.15,6.88,77.8,6.83,2.28,9.11,716.7314,11.73857435,Sandy,10.2193982
A2_3_15,306.614,24.8136485,169.9,7.48,71.9,6.76,4.15,10.91,1263.5546,14.43862685,Sandy,9.22936651
A3_1_4,214.291,9.880239521,44.85,7.51,87.7,8.59,4.52,13.11,482.9594,6.427038458,Roam,4.49855648
A3_1_5,264.264,15.87586868,100.85,7.4,64.3,8.99,3.49,12.48,1136.8434,5.89449533,Roam,8.62403927
A3_1_6,250.712,18.99088438,27.7,7.29,61.5,12.54,5.36,17.9,969.1374,20.20698812,Roam,8.43381684
A3_1_7,214.291,32.91048348,47.55,6.54,67.4,12.23,8.83,21.06,893.4156,12.25137784,Roam,3.91028568
A3_1_8,137.214,26.78607124,51.0,6.7,97.2,9.11,9.21,18.32,984.5528,15.96725198,Roam,5.5455326
A3_1_9,267.652,15.77035174,79.3,6.81,51.0,10.19,3.06,13.25,899.6834,13.66507303,Roam,6.64494442
A3_1_10,186.34,22.2386214,42.55,6.83,45.7,8.45,3.05,11.5,1039.6078,15.70167215,Roam,7.51144827
A3_1_11,400.8004,14.8554337,54.25,6.77,73.2,8.06,20.26,28.32,1031.8154,13.86666835,Roam,14.0538438
A3_1_12,304.92,28.41815571,64.55,6.78,45.9,8.14,2.55,10.69,1082.8048,18.95200876,Roam,6.71343546
A3_1_13,274.5974,12.95956615,97.65,6.73,51.5,7.78,3.55,11.33,964.0554,14.80065732,Roam,6.25402875
A3_1_14,237.16,19.95450373,55.3,6.68,48.3,10.87,2.98,13.85,1034.5258,15.49655811,Roam,8.02713565
A3_1_15,271.2094,14.36323013,77.85,6.68,47.3,9.26,4.56,13.82,962.3614,18.17965286,Roam,7.05582551
A3_2_1,186.34,13.35512677,49.35,7.6,98.7,6.62,3.28,9.9,843.4426,12.71744873,Roam,8.85572304
A3_2_2,267.652,8.295354601,27.95,7.72,78.0,5.36,3.59,8.95,594.7634,10.73553763,Roam,8.40736587
A3_2_5,264.6028,14.27316645,112.65,7.11,124.0,7.01,3.03,10.04,853.776,17.54027515,Roam,6.36538686
A3_2_6,150.766,16.77115362,54.25,7.18,53.7,7.88,3.07,10.95,770.9394,13.79929272,Roam,15.540286
A3_2_7,265.958,13.06863528,42.05,7.76,71.6,7.24,3.29,10.53,975.9134,12.95630804,Roam,7.56958564
A3_2_8,138.908,23.02907046,45.25,7.57,76.5,6.58,3.9,10.48,1379.0854,11.98005742,Roam,6.36115135
A3_2_9,267.652,17.64635508,193.5,7.58,77.9,8.2,2.81,11.01,1031.1378,17.41581722,Roam,13.2495414
A3_2_10,189.728,33.15888299,193.8,7.58,77.8,9.78,2.79,12.57,1246.9534,14.20336944,Roam,4.33328152
A3_2_11,207.515,10.96272673,46.25,7.51,68.9,7.35,2.74,10.09,1068.914,20.49919834,Roam,6.56621801
A3_2_12,189.728,21.47251518,130.0,7.59,98.2,8.09,3.35,11.44,1008.0994,15.17410437,Roam,3.69677213
A3_2_13,250.712,19.09923603,33.35,7.47,99.3,7.68,3.29,10.97,788.3876,17.49210245,Roam,6.30232157
A3_2_14,264.264,20.18223963,52.55,7.38,92.6,5.83,2.78,8.61,786.1854,12.77247216,Roam,11.414092
A3_2_15,182.952,38.36010549,174.4,7.46,119.1,7.28,5.39,12.67,1411.6102,11.71169815,Roam,5.29310059
A3_3_2,212.597,7.394084732,26.25,7.34,95.7,6.95,3.1,10.05,306.7834,7.703385124,Sandy,4.09674206
A3_3_5,267.652,9.384984026,14.45,7.11,61.9,7.42,6.39,13.81,837.0054,6.704714157,Sandy,5.2714414
A3_3_6,138.908,8.673632158,33.85,7.05,59.4,8.11,3.9,12.01,1105.1656,12.45459568,Sandy,3.88028085
A3_3_7,267.652,8.484727491,25.85,6.95,63.7,9.36,3.62,12.98,840.3934,12.95890665,Sandy,8.55818376
A3_3_8,264.264,9.790992287,125.85,6.8,55.6,8.18,3.93,12.11,893.4156,14.03915285,Sandy,6.45109927
A3_3_9,186.34,10.47527834,51.9,6.88,50.5,7.86,4.48,12.34,800.415,15.72222004,Sandy,3.58956517
A3_3_10,215.985,8.178409,27.7,6.55,46.0,10.04,4.24,14.28,726.8954,10.46210943,Sandy,5.98206333
A3_3_11,121.968,12.1649649,26.25,6.58,72.2,6.84,6.71,13.55,1032.8318,10.69262655,Sandy,4.50307087
A3_3_12,250.712,16.35225143,164.8,6.98,82.0,8.92,10.91,19.83,1157.1714,14.3857066,Sandy,3.80522044
A3_3_13,259.182,13.66501756,95.75,6.94,63.1,8.65,8.16,16.81,853.776,16.72474277,Sandy,8.43595922
A3_3_14,215.985,11.96458483,31.2,7.66,52.0,8.69,9.28,17.97,786.1854,13.42417165,Sandy,4.24431618
A3_3_15,206.668,8.692003357,23.25,7.63,54.8,7.51,5.76,13.27,607.4684,10.51522544,Sandy,7.47977887
A5_1_1,267.652,3.396331961,150.0,7.22,140.6,7.47,7.18,14.65,537.1674,8.497559839,Roam,9.07404803
A5_1_2,204.974,4.192453584,272.0,8.56,143.1,8.86,4.67,13.53,713.3434,7.202042343,Roam,13.1951828
A5_1_3,137.214,5.886343683,59.95,8.61,139.3,4.22,5.75,9.97,586.2934,6.808230642,Roam,11.8516862
A5_1_4,189.728,3.295518095,121.3,8.56,137.7,6.33,2.78,9.11,604.9274,8.565623469,Roam,12.131657
A5_1_5,159.236,4.58752194,123.55,8.55,141.3,5.11,2.73,7.84,698.775,9.428654349,Roam,18.7645276
A5_1_6,242.242,6.183921803,76.9,8.53,159.3,6.28,2.7,8.98,477.8774,7.125658535,Roam,21.4486654
A5_1_7,224.6244,8.684368137,181.85,8.42,170.5,5.41,4.29,9.7,705.7204,7.340348422,Roam,14.898623
A5_1_8,93.17,4.997001799,122.4,8.5,313.0,8.67,3.59,12.26,464.3254,11.07705951,Roam,17.1878259
A5_1_9,211.75,2.798432878,96.3,8.58,163.2,6.46,3.12,9.58,585.1076,8.580995475,Roam,3.12917722
A5_1_10,135.52,4.487793202,144.6,8.59,152.8,10.82,4.12,14.94,655.7474,7.329031794,Roam,6.82570885
A5_1_11,264.264,3.998240774,92.0,8.51,144.9,7.07,2.81,9.88,621.698,11.3489326,Roam,14.9494809
A5_1_12,186.34,5.69703754,121.1,8.15,136.4,6.66,2.44,9.1,469.4074,8.505673494,Roam,12.3400376
A5_1_13,214.291,4.99660231,107.8,7.99,136.0,7.65,2.88,10.53,549.0254,7.82519954,Roam,7.59879261
A5_1_14,215.985,7.086677047,112.05,8.4,147.2,9.1,4.17,13.27,728.0812,9.826781409,Roam,8.89757047
A5_1_15,214.291,5.194597618,88.0,8.37,146.3,6.41,2.18,8.59,547.3314,8.663718103,Roam,9.26392582
A5_1_16,1609.3,8.177756502,118.4,8.44,148.1,12.44,3.3,15.74,581.2114,8.861857924,Roam,14.9150658
A5_1_13d,189.728,5.193767479,105.5,8.5,141.4,8.14,3.54,11.68,352.5214,9.486922015,Roam,8.56641583
A5_1_14d,186.34,6.288680375,111.15,8.36,148.5,8.9,2.47,11.37,494.8174,8.42058443,Roam,11.5411993
A5_2_1,215.985,7.689542223,110.1,8.6,137.8,6.83,3.42,10.25,519.7192,8.572617545,Roam,11.5534482
A5_2_2,214.291,0.074306875,129.4,8.69,144.6,6.41,2.49,8.9,580.0256,6.654230434,Roam,14.0181308
A5_2_3,271.2094,4.29313099,137.65,8.59,149.8,8.43,4.84,13.27,1552.7204,7.871402589,Roam,14.3742917
A5_2_4,210.903,3.390912355,100.9,8.65,130.8,4.11,2.1,6.21,536.998,8.910171991,Roam,13.7902942
A5_2_5,86.394,4.893736018,85.3,8.67,137.3,6.03,2.28,8.31,488.0414,6.698436949,Roam,13.8006457
A5_2_6,210.903,3.99664282,112.15,8.65,163.0,7.79,5.18,12.97,631.6926,8.827839276,Roam,15.9131394
A5_2_7,137.214,6.78507284,135.75,8.62,150.4,5.7,3.3,9.0,521.9214,7.934138105,Roam,9.52888762
A5_2_8,267.652,9.083286752,177.65,8.72,144.8,7.94,5.18,13.12,623.0532,8.853461848,Roam,12.3230494
A5_2_9,265.958,4.090346782,76.7,8.24,135.6,5.19,2.51,7.7,430.4454,8.52568814,Roam,10.2371666
A5_2_10,186.34,7.278455771,114.35,8.28,139.6,6.66,2.33,8.99,511.0798,7.379355104,Roam,10.5598095
A5_2_11,264.264,9.29925606,106.5,8.44,139.3,7.09,3.08,10.17,547.3314,6.375273235,Roam,2.64643363
A5_2_12,121.968,7.483834917,215.75,8.38,194.9,6.84,2.59,9.43,660.8294,8.392344044,Roam,12.8053526
A5_2_13,214.291,11.57037983,125.15,8.21,128.2,5.98,2.58,8.56,515.1454,15.88932467,Roam,9.17975548
A5_2_14,72.842,5.588153115,159.35,8.44,144.5,5.94,2.68,8.62,710.8024,6.862655859,Roam,15.323941
A5_2_15,214.291,8.076416863,164.2,8.46,141.9,5.73,2.45,8.18,543.9434,9.273551763,Roam,14.6181507
A5_2_16,79.618,5.982769623,151.95,8.43,158.2,6.35,2.9,9.25,710.8024,3.908998703,Roam,11.4306093
A5_3_4,214.291,6.389776358,111.9,8.21,151.8,8.44,3.26,11.7,349.1334,5.650161739,Roam,13.1229181
A5_3_5,137.214,4.883591134,68.7,8.32,138.5,6.44,2.81,9.25,459.4128,11.4797051,Roam,5.89808975
A5_3_6,215.985,3.798784389,56.0,8.36,134.6,6.95,2.05,9.0,571.0474,7.880014987,Roam,8.17340101
A5_3_7,133.826,4.286625728,71.6,7.54,148.4,6.86,2.33,9.19,380.303,4.45459656,Roam,11.2357642
A5_3_8,162.624,3.985969388,103.35,7.76,145.8,6.39,2.42,8.81,391.4834,5.431900454,Roam,6.71893528
A5_3_9,188.034,3.895481242,83.95,8.05,145.8,9.42,3.21,12.63,505.9978,11.11113303,Roam,14.8336788
A5_3_10,210.903,6.287676155,116.55,8.24,163.3,8.3,3.02,11.32,410.1174,9.885187243,Roam,7.89675979
A5_3_11,199.892,6.989934494,117.75,8.31,193.6,6.55,2.57,9.12,456.0248,9.931931084,Roam,9.28840264
A5_3_12,212.597,9.393236869,99.55,8.25,166.7,6.03,3.23,9.26,491.4294,9.443460629,Roam,11.5495939
A5_3_13,121.968,4.991215461,98.65,8.24,174.6,4.83,2.3,7.13,521.4132,10.56041027,Roam,11.0298568
A5_3_14,264.264,6.78751098,92.25,8.07,176.7,5.58,2.37,7.95,443.9974,7.14859887,Roam,13.2416985
A5_3_15,76.23,6.59287969,104.6,8.38,166.7,8.46,3.24,11.7,438.746,10.62587961,Roam,10.8381637
B2_2_8,115.5,34.48,72.32,7.35,59.3,,,,,,Sandy,0.86013661
B2_2_9,140.14,51.86,139.27,6.2,64.6,,,,,,Sandy,2.53586201
B2_2_10,69.3,26.19,83.4,7.47,60.4,,,,,,Sandy,0.81259666
B2_2_11,92.4,29.35,104.42,7.32,61.1,,,,,,Sandy,1.20238711
B2_2_12,78.54,25.31,81.16,7.16,56.9,,,,,,Sandy,2.93275107
B2_2_13,98.56,25.21,64.0,7.36,54.4,,,,,,Sandy,2.57547244
B2_2_14,115.5,25.11,67.46,5.92,50.9,,,,,,Sandy,1.98345004
B2_2_15,133.98,34.09,99.48,7.47,63.9,,,,,,Sandy,0.80849201
B2_3_1,83.16,17.8,131.06,7.82,169.6,,,,,,Sandy,3.92223082
B2_3_2,69.3,20.77,112.67,7.88,147.2,,,,,,Sandy,1.99140431
B2_3_3,64.68,14.15,138.18,7.81,165.7,,,,,,Sandy,2.50644711
B2_3_4,,19.78,98.43,7.75,145.5,,,,,,Sandy,2.09653015
B2_3_6,69.3,20.86,114.44,7.75,155.3,,,,,,Sandy,0.54716445
B2_3_7,75.46,17.21,120.23,7.85,149.3,,,,,,Sandy,3.00859392
B2_3_9,92.4,17.8,93.55,7.67,179.0,,,,,,Sandy,1.81311299
B2_3_10,67.76,17.41,111.45,7.78,163.7,,,,,,Sandy,1.21997383
B2_3_11,77.0,18.1,105.15,7.84,154.2,,,,,,Sandy,2.06810664
B2_3_12,,5.57,94.55,6.84,144.6,,,,,,Sandy,1.6341739
B2_3_13,77.0,84.73,107.83,7.74,144.6,,,,,,Sandy,1.27781695
B2_3_14,72.38,22.94,122.31,7.87,169.6,,,,,,Sandy,3.52892555
B3_1_5,272.734,34.02921922,105.25,8.12,166.8,7.2,7.75,14.95,996.2414,7.707254734,Clay,0.84982267
B3_1_6,160.93,15.95405233,71.95,8.05,169.1,5.41,16.15,21.56,962.192,13.97975887,Clay,1.0154581
B3_1_7,215.985,14.28571429,93.5,8.07,170.6,5.84,6.55,12.39,842.0874,15.25277996,Clay,1.14023282
B3_1_8,186.34,15.48699093,77.45,8.22,174.9,7.02,3.88,10.9,896.8036,13.29796061,Clay,0.94787888
B3_1_9,267.652,13.6835797,74.75,8.24,170.0,6.26,4.96,11.22,835.3114,14.43097696,Clay,1.49296155
B3_1_10,137.214,12.49600128,104.45,8.29,168.0,6.89,7.77,14.66,988.1102,15.00234779,Clay,1.58529708
B3_1_11,267.652,15.28838083,90.5,8.26,162.7,8.81,8.62,17.43,908.1534,12.07103942,Clay,1.98900487
B3_1_12,189.728,14.6642193,222.0,8.3,170.4,6.67,5.27,11.94,981.1648,15.46039677,Clay,1.93724039
B3_1_13,269.346,21.67225951,89.35,8.15,182.1,8.21,15.35,23.56,1023.3454,13.85695547,Clay,1.1756118
B3_1_14,191.422,14.58133589,80.85,8.3,172.1,8.04,10.35,18.39,1062.138,14.1096346,Clay,1.96029139
B3_2_5,66.066,10.28149331,90.35,8.54,139.2,4.67,3.74,8.41,387.079,8.044870189,Sandy,3.0177288
B3_2_6,231.231,4.709274387,100.05,8.57,162.3,5.21,3.78,8.99,350.8274,6.241831991,Sandy,4.36629786
B3_2_7,191.422,13.59564939,131.25,8.43,140.2,4.53,5.01,9.54,450.7734,6.12941889,Sandy,3.06934659
B3_2_8,164.318,15.36987504,133.65,8.41,134.3,5.62,3.68,9.3,352.5214,6.79613555,Sandy,4.43310655
B3_2_9,186.34,7.291250499,73.3,8.43,129.9,4.61,5.6,10.21,461.1068,7.618124956,Sandy,5.54839835
B3_2_10,214.291,8.289389581,106.15,8.49,137.4,3.99,2.18,6.17,260.029,9.026573724,Sandy,3.57391581
B3_2_11,121.968,13.97261368,116.45,8.44,153.6,3.41,2.96,6.37,409.4398,5.961716074,Sandy,4.69591199
B3_2_13,72.842,12.39107842,195.75,8.59,150.6,4.63,3.18,7.81,354.2154,7.166447692,Sandy,3.39249889
B3_2_14,264.264,11.77409699,158.55,8.22,164.4,5.75,8.17,13.92,524.8012,9.448563601,Sandy,4.46871695
B3_2_15,147.378,11.6813099,138.05,8.26,154.1,6.55,5.66,12.21,410.1174,7.242499848,Sandy,7.89368061
B3_3_5,267.652,11.46468876,86.25,8.41,140.9,6.96,4.57,11.53,869.1914,11.97083727,Clay,0.69650165
B3_3_6,189.728,8.777879743,80.75,8.41,135.1,5.32,5.65,10.97,794.6554,13.24207662,Clay,1.17551942
B3_3_7,215.985,9.291823196,96.4,8.42,151.5,6.45,7.28,13.73,913.913,9.714067926,Clay,2.51494815
B3_3_8,189.728,7.280778744,91.5,8.43,135.7,6.85,3.6,10.45,784.4914,16.52444645,Clay,0.45407133
B3_3_9,217.8484,8.699652014,80.5,8.43,138.3,6.26,4.07,10.33,901.8856,9.993027018,Clay,0.8273304
B3_3_10,135.52,7.279036375,88.25,8.4,131.8,6.95,4.65,11.6,731.9774,11.64173271,Clay,0.86805331
B3_3_11,269.6848,10.58729525,80.0,8.51,153.4,6.43,9.22,15.65,907.137,10.93437289,Clay,1.13340464
B3_3_13,245.2912,13.76860757,114.6,8.5,138.0,5.97,7.2,13.17,905.443,13.55490032,Clay,0.51373908
B3_3_14,189.728,7.893054112,51.42,8.33,146.2,6.48,8.96,15.44,900.1916,11.6019222,Clay,0.69984957
B3_3_15,269.346,8.887912439,78.36,8.4,143.7,4.92,9.15,14.07,853.9454,13.93032048,Clay,0.23996605
C1_1_1,189.728,10.07903561,40.9,8.34,81.1,6.78,3.75,10.53,958.804,17.02983758,Roam,9.28917591
C1_1_2,269.346,9.287369178,75.62,8.3,67.5,6.86,2.21,9.07,547.3314,21.93226378,Roam,18.1656021
C1_1_3,217.8484,7.278455771,45.04,8.05,92.1,8.52,5.64,14.16,67.9294,12.94467896,Roam,13.3148562
C1_1_4,189.728,13.28405913,54.4,7.95,67.6,8.01,2.2,10.21,875.6286,23.75945399,Roam,5.48009605
C1_1_5,242.242,13.65684437,143.74,6.93,97.1,6.81,3.1,9.91,1295.7406,18.17195528,Roam,14.2906471
C1_1_6,221.2364,17.64072716,75.52,6.62,90.0,7.4,11.89,19.29,1114.4826,27.46349352,Roam,6.55533934
C1_1_7,127.05,9.394363382,46.34,5.63,95.6,7.31,3.61,10.92,975.5746,17.72789844,Roam,7.73165642
C1_1_8,269.346,5.18817097,33.94,6.67,119.2,6.34,19.51,25.85,1270.3306,15.5185608,Roam,3.16567685
C1_1_9,293.062,11.96983601,47.92,7.03,95.4,11.42,5.12,16.54,1437.0202,16.85063835,Roam,3.88428563
C1_1_10,217.3402,6.183428412,48.82,7.04,94.0,11.23,9.39,20.62,1217.8166,22.41530504,Roam,9.92776122
C1_1_11,242.242,9.286627257,40.54,7.1,63.6,9.38,2.38,11.76,460.768,18.47470819,Roam,15.1166877
