SampleN,V_S,Na_S,Co_S,SumTS
B3_1_14,15.26365335,464.8205612,4.464951571,1.96029139
B3_2_5,35.31913122,564.9723993,6.79358563,3.0177288
B3_2_6,31.26863827,299.6042032,6.066898268,4.36629786
B3_2_7,34.37374309,449.8163694,6.527037577,3.06934659
B3_2_8,36.20810323,455.5644977,6.022070863,4.43310655
B3_2_9,36.49557019,471.60090550000007,6.899462724,5.54839835
B3_2_10,39.78340581,575.9569119,7.929889999,3.57391581
B3_2_11,33.27068321,429.5842538,7.036934606,4.69591199
B3_2_13,33.65121262,552.102468,6.96409156,3.39249889
B3_2_14,32.54448561,719.2006069,7.193192572,4.46871695
B3_2_15,33.88808642,835.5390191,7.088393419,7.89368061
B3_3_5,35.947130369999996,595.5902435,9.372472426,0.69650165
B3_3_6,36.09929882,630.3878061,9.186511004,1.17551942
B3_3_7,37.58125179,562.2387090999999,9.95203279,2.51494815
B3_3_8,36.55876347,512.7073588999999,9.475719514,0.45407133
B3_3_9,33.69565454,673.0110989,8.724044928,0.8273304
B3_3_10,33.22322235,603.7637849,8.482040491,0.86805331
B3_3_11,31.64419715,629.2873644,8.114637114,1.13340464
B3_3_13,34.69388654,359.637117,8.933857114,0.51373908
B3_3_14,36.97804788,535.4618493,9.392565237,0.69984957
B3_3_15,36.86961717,609.3545769,9.304373307,0.23996605
C1_1_1,164.5677127,356.1392955,27.25502229,9.28917591
C1_1_2,193.3699651,425.7654585,28.62906166,18.1656021
C1_1_3,186.3142409,362.1435436,29.2968591,13.3148562
C1_1_4,198.5758213,424.2175896,33.16076265,5.48009605
C1_1_5,176.9436723,424.2686442,32.15927868,14.2906471
C1_1_6,147.724979,401.3834096,40.39664323,6.55533934
C1_1_7,215.6846739,418.3947465,36.38334767,7.73165642
C1_1_8,218.810587,305.2697896,38.00830018,3.16567685
C1_1_9,165.5808783,403.5696756,27.63625526,3.88428563
C1_1_10,207.9520174,409.8682017,33.34393912,9.92776122
C1_1_11,247.4453326,646.7363564,36.84371355,15.1166877
C1_1_12,208.3325918,443.0277203,33.69468563,11.6129034
C1_1_13,241.4191973,383.0655866,44.42262921,8.44888142
C1_1_14,262.1299069,330.0941302,50.70906906,5.17560108
C1_1_15,226.1946603,327.170737,41.41924884,9.26339787
C1_2_1,39.28528323,182.8989055,10.62827093,10.7044857
C1_2_2,39.25230384,194.8244252,11.14238827,6.13841237
C1_2_3,27.59133152,163.7450517,8.313005135,3.73709508
C1_2_4,40.65969957,198.3294885,10.97590675,5.51472793
C1_2_5,33.30467528,177.3428041,9.420097296,3.46969329
C1_2_6,36.91545254,192.8107392,10.20121564,1.32017311
C1_2_7,36.58912937,176.1760592,10.31718332,8.9922877
C1_2_8,32.54018535,180.5678659,9.078016754,4.31284145
C1_2_9,34.44374716,182.2780317,9.477469356,7.39142619
C1_2_10,27.90817884,152.4583869,7.599437497,4.46507626
C1_2_11,35.44504707,179.5648818,9.814590725,5.66848097
C1_2_12,37.15109808,175.1073728,10.39346319,3.20702526
C1_2_13,37.92030959,213.161641,10.94026063,10.3059194
C1_2_14,32.62709271,194.1889345,9.446138979,0.56000093
C1_2_15,41.50690823,213.0997547,11.3137484,5.18236306
C1_3_1,24.09110239,182.5876202,6.649260398,0.29673571
C1_3_2,24.9466513,180.0747209,6.83973517,1.84663183
C1_3_3,25.51159122,183.6593502,7.094438531,0.93398731
C1_3_4,26.32307827,223.6640952,7.208891264,0.59626432
C1_3_5,24.36512749,190.7240196,6.907897947,0.41726575
C1_3_6,25.42601858,191.1049775,7.217620796,0.59047946
C1_3_7,26.84487614,191.9397632,7.551571206,1.71318651
C1_3_8,24.09872751,224.5794618,6.612194438,0.50795346
C1_3_9,24.02437946,211.9681208,6.949792022,6.03187482
C1_3_10,23.54532938,177.1272184,6.472046591,0.62284484
C1_3_11,25.37224903,220.4419594,6.708779062,1.38036505
C1_3_12,30.45204547,297.2436441,9.080672892,2.23891639
C1_3_13,24.85467928,244.0131987,7.18166741,2.61995987
C1_3_14,24.76969653,319.5848677,7.181868391,1.51622875
C1_3_15,11.24766535,192.2782319,4.624468869,1.5520063
C2_1_1,54.5565,278.759,10.5585,2.38389827
C2_1_2,65.3805,302.0455,12.026,0.68918522
C2_1_3,49.481,209.898,10.545,6.1817862
C2_1_4,55.718,263.753,11.952,3.38751591
C2_1_5,63.703,328.3335,12.0375,1.44121211
C2_1_6,58.0405,264.7485,12.0625,1.8547526
C2_1_7,68.5705,307.954,12.9165,3.44259623
C2_1_8,62.4565,362.698,12.9865,2.03475667
C2_1_9,61.3725,304.2225,10.9055,1.94103142
C2_1_10,60.237,307.6515,11.693,3.57848379
C2_1_11,58.168,258.2335,11.592,0.85772091
C2_1_12,54.908,369.2205,10.8555,1.60478838
C2_1_13,59.633,307.7665,11.825,1.32266646
C2_1_14,58.808,285.9655,12.514,1.60005689
C2_1_15,61.766,253.6025,11.44,2.44242539
C2_2_1,58.6325,357.7825,9.7315,4.94815433
C2_2_2,60.2895,311.897,10.001,7.99257962
C2_2_3,68.0375,468.2715,11.8675,2.41763553
C2_2_4,66.7455,360.967,12.7065,2.77650221
C2_2_5,48.765,253.2395,8.7625,6.96729446
C2_2_6,75.7215,424.3685,13.1825,3.53108632
C2_2_7,58.804,330.0945,9.666,6.8556172
C2_2_8,52.651,282.4935,9.4685,9.29138855
C2_2_10,66.8755,444.0265,11.9555,7.95873383
C2_2_11,55.374,321.8425,9.1395,6.35992176
C2_2_12,61.837,337.015,10.293,4.15025084
C2_2_14,50.849,253.371,8.8415,4.00473282
C2_2_15,55.329,366.7925,8.589,7.41239649
C2_3_1,62.5085,316.4005,11.129,1.85412971
C2_3_2,63.258,324.3565,11.4365,1.62396768
C2_3_3,33.874,138.343,8.762,1.96391958
C2_3_4,51.62,307.313,9.122,2.18015866
C2_3_5,61.1145,310.5235,11.03,1.94962146
C2_3_6,60.5155,327.195,10.95,2.63312128
C2_3_7,42.1215,211.0065,8.195,2.06513137
C2_3_8,71.7725,411.8405,11.885,1.6003764
C2_3_9,57.9615,282.8055,10.6405,2.31284372
C2_3_10,44.829,210.2225,9.0675,2.57820055
C2_3_11,59.1765,265.1885,11.268,2.89358939
C2_3_12,60.4925,302.0385,11.113,4.70722714
C2_3_13,64.581,323.732,11.3705,1.98731377
C2_3_14,62.4045,349.1275,10.4305,2.47281571
C2_3_15,64.8495,346.251,11.2695,2.02644209
C3_1_1,27.06695144,156.0567984,7.231443029,0.75690167
C3_1_2,28.33866485,152.0501081,7.616302426,2.26219127
C3_1_3,47.78037266,228.4610924,12.60284014,2.77016987
C3_1_4,29.45197107,149.842174,7.901350404,3.36959591
C3_1_5,26.86084121,125.8837761,7.438222012,4.03425261
C3_1_6,56.53417625,358.3475431,14.50829493,4.93372907
C3_1_7,50.76254117,304.5993913,12.96496712,4.61698535
C3_1_8,49.35563336,267.1262247,12.44805409,2.31304111
C3_1_9,42.38907623,228.6970432,11.12167827,1.26271653
C3_1_10,40.41980515,208.5404083,10.5751431,2.15336363
C3_1_11,44.19182372,221.1955503,11.54755781,5.32812908
C3_1_12,48.26808124,204.7823953,12.77505578,2.15011473
C3_1_13,46.65649274,203.5722044,12.82405116,2.8191988
C3_1_14,45.89411814,223.5606108,12.39396758,1.70121196
C3_1_15,39.52070773,203.4285385,10.7585107,2.17286812
C3_2_1,33.34224348,158.557837,10.01969401,1.52207055
C3_2_2,45.47662011,204.3094467,13.53508453,1.25912625
C3_2_3,47.48413375,224.4742646,15.28340193,8.03108721
C3_2_4,50.62834682,210.4168425,15.41060494,2.23672063
C3_2_5,47.22026446,208.662859,14.51640156,2.73053043
C3_2_6,46.2453863,215.4986594,14.39503634,7.26687573
C3_2_7,46.62928531,178.6024435,13.67982536,5.63871692
C3_2_8,51.96058009,248.2236553,15.15281093,1.95857049
C3_2_9,44.49938333,219.0682432,13.09483546,6.05822439
C3_2_10,49.15650038,221.3268394,14.91572232,7.5636624
C3_2_11,47.63278173,196.8823719,14.91009502,7.10651794
C3_2_12,42.31062557,174.2486614,12.95183474,1.72277832
C3_2_13,47.02478409,181.8397773,14.25433105,2.29496137
C3_2_14,43.75739153,191.6263275,13.21361669,7.19838632
C3_2_15,47.17571399,220.5109057,14.31128128,1.91185046
C3_3_1,15.69721712,121.5153983,4.358694026,3.34782893
C3_3_2,16.14441037,100.69761,4.437562553,5.08807029
C3_3_3,16.62473806,104.6619433,4.56904914,1.65727255
C3_3_4,16.13946149,116.0588391,4.479815562,11.3495064
C3_3_5,17.86239064,109.9761115,4.941278512,9.12385778
C3_3_6,23.82807498,123.356282,6.51445713,3.33441405
C3_3_7,17.67716364,115.3696493,4.757625873,1.40825369
C3_3_8,16.18070928,104.08631,4.537434461,8.02947917
C3_3_9,14.56051278,87.04841059,3.955137644,3.4909486
C3_3_10,16.18160516,89.68970745,4.461073366,11.6099775
C3_3_12,16.14199513,98.43196832,4.586709947,8.33619249
C3_3_13,18.15302533,107.9124207,4.98476098,5.14429551
C3_3_14,17.64573339,108.010217,4.824464211,12.1021853
C3_3_15,15.35713754,96.37124476,4.325296713,6.80823859
D1_1_1,53.553,291.3485,10.588,3.09074293
D1_1_2,43.355,209.4185,9.733,3.4245826
D1_1_3,70.4635,448.467,12.57,6.45916733
D1_1_4,62.177,355.908,10.941,2.52562148
D1_1_5,68.1695,419.036,11.686,2.59008023
D1_1_6,62.016,377.2285,10.4715,3.2900164
D1_1_7,67.697,427.441,11.5815,1.18214422
D1_1_8,58.625,319.719,10.7155,1.52138023
D1_1_9,71.2855,483.2155,11.4495,2.72126498
D1_1_10,73.112,442.2705,12.52,4.57951982
D1_1_11,67.232,420.5945,11.5545,3.12807097
D1_1_12,66.7435,395.817,11.894,2.33516884
D1_1_14,,,,2.15060592
D2_1_1,34.18228874,731.5149013,9.179216692,0.65341443
D2_1_2,37.38390774,616.9797077000001,9.692088835,0.60383613
D2_1_3,36.06716675,673.9738264,9.798125745,0.47987713
D2_1_4,37.09619602,593.449882,10.02641919,0.66220949
D2_1_5,39.23302113,737.0980467,10.54108022,0.44207692
D2_1_6,37.36272297,837.0589494,9.815891762,1.80361269
D2_1_7,39.60061381,747.6978744,10.48540233,1.57654778
D2_1_8,24.60873889,663.3302977999999,6.576620486,0.80089519
D2_1_9,23.62096547,636.6049715,6.126828336,0.65425885
D2_1_10,27.49682803,784.8016332,7.240765794,0.85140201
D2_1_11,30.03116138,797.8950264,7.781944533,1.72878365
D2_1_12,23.07295501,640.6073259,6.257973111,2.24601036
D2_1_13,27.65929664,598.2169747,7.426544609,1.67423555
D2_1_14,26.23316858,749.8345134,7.088180276,2.75630899
D2_1_15,22.38439213,503.3190874,5.886561609,2.49807364
D2_2_1,22.68714965,693.6637576,6.266914366,1.4200936
D2_2_2,23.49877104,522.5600615999999,6.520517948,1.5323692
D2_2_3,25.59997515,722.4768577,6.965721895,1.50317172
D2_2_4,24.12068591,713.3106636,6.687908732,1.47309498
D2_2_5,25.98593068,473.96422249999995,7.137010051,2.45955994
D2_2_6,26.08134786,560.1616116,7.217569045,2.92013651
D2_2_7,28.67692465,642.6135675,7.840911014,1.18911426
D2_2_8,23.52791277,553.3246077,6.655881733,1.30773091
D2_2_9,26.49991996,860.6859887,7.564266341,0.88994066
D2_2_10,22.96736152,547.4578527,6.33885828,2.50306224
D2_2_11,25.46744218,628.7982855,7.191733027,1.56808546
D2_2_12,24.45459676,643.348306,6.819536244,3.32594368
D2_2_13,21.92949099,561.1035612,6.118918179,3.01611147
