SampleN,Pb_S,Cr_S,Cd_S,As_S,Sb_S,Sn_S,SumTS
A2_2_7,19.33799252,34.3537589,0.875491369,7.385028665,0.42998223,6.527805071,5.87284298
A2_2_8,23.16279154,46.51890389,0.84456325,8.66010145,0.477342402,7.770657395,4.73170575
A2_2_9,26.83594927,36.01325269,0.408181227,7.269129894,0.358492203,7.005711888,7.20263991
A2_2_10,29.65885477,40.74452556,1.512504163,8.185562972,0.597786641,7.686459471,4.22274933
A2_2_11,23.80810617,39.02163906,1.406581723,8.95466174,0.636957795,7.37449176,6.40604933
A2_2_12,26.92120137,45.11073117,1.163588826,8.656193524,0.711970173,7.014184433,4.55281768
A2_2_13,31.58229633,43.37641883,0.439330569,8.621836489,0.655916081,11.31926563,5.69708636
A2_2_14,21.08007833,38.08165908,0.508660471,8.569560978,0.512178809,7.01702265,5.785083
A2_2_15,20.43059945,37.47576916,3.057069621,7.568089173,0.488147216,6.840797237,6.96029029
A2_3_1,31.30944924,32.79381448,0.832069493,6.571673708,0.370024108,9.797544233,11.1553562
A2_3_4,31.73430162,31.94972899,0.252938799,6.833205814,0.418298912,9.660192578,10.1387645
A2_3_5,25.18114049,27.00624007,0.240026338,4.91248226,0.318602371,8.439909134,5.70933502
A2_3_6,26.60963256,46.25734566,2.014078863,1.848875438,0.0005332,8.148569416,4.93086006
A2_3_7,24.78062355,44.22437353,0.976958257,1.315213859,0.0005332,8.106779661,11.1689683
A2_3_8,31.197701,52.49931128,1.424694065,1.79865998,0.0005332,8.992626525,8.65291963
A2_3_9,25.93967,45.84706001,1.062602436,1.401760986,0.0005332,8.52345843,5.91388446
A2_3_10,35.94487175,47.61966166,1.243474658,1.480381387,0.0005332,9.271235345,1.50115556
A2_3_11,33.37534048,39.11816121,1.011880404,1.505057714,0.0005332,8.124430252,2.69239932
A2_3_12,37.18996948,46.59920586,1.051332709,1.514384726,0.0005332,6.239282723,18.4061108
A2_3_13,41.85305285,44.39486201,0.896632787,6.398678571,0.0005332,8.571800767,10.8818458
A2_3_14,35.56848884,36.4832189,0.939103375,1.474292394,0.0005332,8.349622044,10.2193982
A2_3_15,36.64524212,48.04506804,0.397856897,1.573455605,0.0005332,9.293918833,9.22936651
A3_1_4,8.789154797,11.25143598,0.090409183,2.795817467,0.214862007,2.737066066,4.49855648
A3_1_5,23.21184489,30.34121824,0.172143794,7.258118537,0.586315041,7.055824892,8.62403927
A3_1_6,17.48254478,21.07139969,0.141212073,5.121797807,0.414123197,5.363366701,8.43381684
A3_1_7,23.24101665,31.01354726,0.169167952,6.828693207,0.559547843,7.912821703,3.91028568
A3_1_8,23.79036778,31.26633513,0.162058015,7.116339793,0.56233551,7.549053822,5.5455326
A3_1_9,22.46936781,27.44132571,0.164459678,6.161135707,0.552732345,6.91543856,6.64494442
A3_1_10,19.95074768,23.82853147,0.13872624,5.631674834,0.491713148,6.154285296,7.51144827
A3_1_11,18.15453436,33.25211831,0.142986514,4.083206305,0.381503089,6.851071053,14.0538438
A3_1_12,23.75207391,27.47275736,0.15634268,6.719018443,0.524385741,7.29939091,6.71343546
A3_1_13,29.19177765,28.2227756,0.199049921,8.119054012,0.580577981,8.291032572,6.25402875
A3_1_14,28.30345012,27.28553148,0.192487158,7.472294449,0.601859053,7.693215576,8.02713565
A3_1_15,31.54214395,29.19401031,0.177559721,8.921302721,0.645068783,7.670921724,7.05582551
A3_2_1,10.42567544,27.94853016,0.088477645,4.426854179,0.362661159,7.195232612,8.85572304
A3_2_2,9.244320949,22.6188368,0.15849725,4.223791033,0.40043034,6.492079448,8.40736587
A3_2_5,10.6252029,21.93607183,0.099241911,4.494254877,0.412163819,6.665269176,6.36538686
A3_2_6,9.29480531,20.66698325,0.081039644,4.214589416,0.351167244,6.24662746,15.540286
A3_2_7,12.55774932,27.7432958,0.086917254,6.179663697,0.501430274,7.265167354,7.56958564
A3_2_8,11.59278783,23.0485236,0.108114182,5.174688067,0.430233548,6.962923662,6.36115135
A3_2_9,12.05693449,25.13496931,0.0985318,5.086919127,0.440636571,6.926795843,13.2495414
A3_2_10,13.27833082,28.93088327,0.196599194,6.237418214,0.479854948,7.717373445,4.33328152
A3_2_11,12.58006621,28.08453885,0.135853038,5.791186034,0.442646102,7.762171996,6.56621801
A3_2_12,12.12977419,30.88450745,0.11209419,6.013339791,0.467383281,7.27913127,3.69677213
A3_2_13,11.39487316,27.21931156,0.14153386,4.627256038,0.445474045,6.262796452,6.30232157
A3_2_14,11.23297583,23.10591551,0.09828304,4.355548417,0.419072198,5.091347493,11.414092
A3_2_15,11.41206532,24.44554281,0.122807787,5.230333749,0.439735038,6.746647596,5.29310059
A3_3_2,11.54266204,38.45494294,0.262577834,5.000143142,0.470787557,7.006686307,4.09674206
