SampleN,Mn_S,Cu_S,Fe_S,Zn_S,Mg_S,K_S,Ca_S,Mo_S,SumTS
A2_3_1,362.3599937,58.12032324,31181.64774,75.3788958,5960.264863,6835.577073,3902.912189,0.439960279,11.1553562
A2_3_4,336.0774244,59.70210062,32355.73388,91.75888798,5987.772846,6614.670653,3505.971123,0.489222632,10.1387645
A2_3_5,319.8634411,37.2221492,27482.13553,67.41169435,5270.310833,5910.796497,2818.717938,0.384488657,5.70933502
A2_3_6,385.5876141,46.7904669,38991.0354,71.98332994,8048.95975,8871.647202,4064.185242,0.689987763,4.93086006
A2_3_7,389.7164889,44.380992,34486.44119,68.68087922,7287.889799,7710.000475,4716.383925,0.635723685,11.1689683
A2_3_8,470.3408058,66.30547197,40763.48867,86.98822298,8808.040088,9553.731534,4728.624616,0.658434109,8.65291963
A2_3_9,340.9124402,62.61461346,31351.67205,62.25729136,6341.307284,6855.245781,5210.957645,0.623239277,5.91388446
A2_3_10,393.9280158,78.57783411,38088.58446,87.82298442,7699.105426,8898.200074,4552.792121,0.69892807,1.50115556
A2_3_11,362.5822402,63.24889406,35950.05635,72.87643109,7219.230179,8203.022543,4552.282739,0.808016137,2.69239932
A2_3_12,334.7963421,58.83490526,35963.97256,69.90795339,7075.819959,7761.722194,3651.660923,0.675679263,18.4061108
A2_3_13,334.0558211,62.23032093,36348.18327,73.84408206,7063.896373,7805.551161,4071.100483,0.750652128,10.8818458
A2_3_14,316.0243355,55.46850644,32480.0574,71.50802654,6290.970307,7029.783439,3330.730565,0.649820908,10.2193982
A2_3_15,338.5088931,70.9212196,36431.19291,76.88183309,7048.189251,8138.238029,3583.474628,0.683107521,9.22936651
A3_1_4,217.4271557,17.25409123,11319.67352,38.73409231,4063.287086,1855.739752,3086.259318,0.347544099,4.49855648
A3_1_5,529.3681286,51.89728238,29036.03197,68.57940097,9732.935016,5425.311009,9152.186021,0.668721189,8.62403927
A3_1_6,374.0921243,37.442934,21702.28741,54.21023122,7013.808854,3927.304322,6447.807256,0.469371516,8.43381684
A3_1_7,530.6517414,58.29061891,31366.78022,77.5682567,10608.53694,5879.327644,10017.15022,0.732363389,3.91028568
A3_1_8,581.1080867,54.753852,31949.63387,78.54288316,10998.92193,6204.070867,9394.926379,0.671061993,5.5455326
A3_1_9,488.4616996,54.72839601,27283.66686,74.36655423,9071.218461,5210.995299,9259.25812,0.591365844,6.64494442
A3_1_10,416.93639,45.05301806,23971.99362,62.7507387,7776.703079,4367.287571,7698.171994,0.539165993,7.51144827
A3_1_11,407.5765593,56.24765438,25086.24969,57.0856499,10709.47905,5949.23361,10743.12925,0.430175612,14.0538438
A3_1_12,491.1083029,48.42866325,28608.48604,72.00329817,9088.363743,5196.303469,8170.747602,0.647027602,6.71343546
A3_1_13,567.5522304,52.55054253,30359.51834,70.61747111,9113.306532,5058.535243,9219.27495,0.626575519,6.25402875
A3_1_14,538.7341323,57.35953678,28889.45825,71.7390734,8780.777677,5028.759047,10495.84265,0.600796038,8.02713565
A3_1_15,642.6547424,50.71657704,31931.49431,66.91263194,9252.29536,4965.556354,8737.15785,0.626045426,7.05582551
