SampleN,Ga_S,Rb_S,Li_S,Sr_S,Ba_S,Be_S,Cs_S,Ni_S,Sc_S,Ge_S,Hf_S,Nb_S,Ti_S,Zr_S,SumTS
A2_1_11,5.766629562,25.74700715,9.859472508,10.74772401,72.00298507,0.68425625,2.210651156,13.75634165,2.789027324,1.294250477,0.098131761,0.365402944,544.7271847,3.788961029,5.0314173
A2_1_12,3.785670561,14.53667068,7.341024728,9.894795617,46.50680919,0.427276441,1.376447147,9.765774905,1.96235156,0.813923475,0.089583898,0.089851847,334.6345324,3.5087607,9.15003471
A2_1_14,2.948475017,12.33219202,5.641931067,6.128676648,38.0284351,0.327381155,1.096313486,6.934904247,1.494424786,0.648713325,0.044694799,0.003106962,260.5668435,2.106300547,4.40338309
A2_1_15,3.678407516,15.66882061,6.108202083,7.239328627,43.53431589,0.396177232,1.29196476,9.137854688,1.621630501,0.810989685,0.050484116,0.003106962,332.4967826,2.385467658,4.28305784
A2_2_5,8.71663728,28.3381684,17.82087914,23.99927386,108.6134162,1.426003439,4.675750175,25.51871539,5.546339538,2.259321691,0.234307142,3.158375947,1083.089287,6.719434793,3.59956276
A2_2_6,9.133688953,31.70858349,18.52301017,23.77288238,116.4788782,1.630807986,5.057890552,27.78251955,5.835543952,2.373433706,0.09741723,1.903623376,983.0807378,4.248046245,3.67175536
A2_2_7,7.935324792,28.1921135,16.70587627,24.22404686,106.1160655,1.256639679,4.509962536,24.04209578,5.115783267,2.067052167,0.098970452,1.241947087,884.5611519,3.826624603,5.87284298
A2_2_8,10.15284947,40.87209694,19.20034625,18.52768699,106.9104963,1.398849269,5.301339358,28.08670749,6.061597741,2.716061411,0.081022501,1.887827964,1058.80421,3.638735711,4.73170575
A2_2_9,8.593509457,29.13882506,15.32365774,22.87973198,99.31979546,1.307090386,4.130107181,24.31531948,4.602644373,2.205313879,0.02873718,1.11371112,663.1522792,1.919621521,7.20263991
A2_2_10,9.87938934,34.35408316,16.73767991,22.65383798,108.2485499,1.34172591,4.910555403,26.19266137,5.302158443,2.520756598,0.052256435,1.70083964,806.2956495,2.913295679,4.22274933
A2_2_11,9.153788553,32.04238754,17.91616651,26.85545672,131.0500086,1.258575362,5.184061906,28.86254543,5.764692336,2.506437123,0.091120381,2.205174147,988.3093225,3.776120968,6.40604933
A2_2_12,10.70972623,34.61649914,18.54784328,21.56410908,111.6161502,1.530732355,4.880500579,28.34580607,6.107138059,2.831132353,0.145628664,2.677179754,1044.401022,5.502605415,4.55281768
A2_2_13,10.85069226,34.16058325,18.39692416,21.0821238,101.4838114,1.432548937,4.74335783,27.84535835,5.742954193,2.65430128,0.113590161,2.78081679,1079.302547,4.81277329,5.69708636
A2_2_14,7.699568533,31.44012038,15.20822073,15.17031796,88.9810813,1.029826476,4.343600777,22.77561632,4.517502376,2.099385999,0.052624753,1.666742657,781.7824812,2.860792125,5.785083
A2_2_15,7.908820534,30.7263709,15.17695482,15.10544396,90.84787138,0.979606186,4.26922637,23.17733047,4.761446068,2.133794932,0.056540462,1.609455574,824.6428282,3.138461731,6.96029029
A2_3_1,12.61375366,101.2489946,25.58842323,18.64885692,149.4527896,1.032937967,7.47841322,18.46961896,5.789191333,3.232778789,0.013893067,6.085989234,1445.113049,0.684995486,11.1553562
A2_3_4,12.74040398,105.3087635,26.44045133,17.8351149,136.1142852,0.906981065,7.947371017,19.59455489,6.040436652,3.244840062,0.043622706,6.525441557,1545.82346,0.995277477,10.1387645
A2_3_5,10.66664492,97.4781567,23.47191048,13.96429887,133.2511697,0.932112793,7.102695283,16.85137527,5.264482513,2.78377505,0.02031906,5.482419928,1377.599504,1.210117546,5.70933502
A2_3_6,15.03008096,125.8542682,39.42339733,18.41419844,141.6440051,1.494807857,8.188866108,28.8119066,9.100870917,2.943900731,0.124923343,9.751089792,2377.366855,4.638157419,4.93086006
A2_3_7,13.28403152,105.9319563,33.19271031,21.53411644,145.8212309,1.438465704,7.092592822,23.92635156,9.878561793,2.545505046,0.068071215,9.619349151,2012.798476,2.43114785,11.1689683
A2_3_8,15.78433417,123.0288189,40.09309341,22.01973589,141.096834,1.657388515,8.394426152,28.23236743,10.09041757,3.011710989,0.043393737,9.031318715,2278.017623,1.345004019,8.65291963
A2_3_9,12.20616765,91.413042,28.33020872,21.16779198,111.9301151,1.035995897,6.332301891,22.46184156,8.384992158,2.12438056,0.036850196,8.0056613,1785.250538,1.428435421,5.91388446
A2_3_10,15.82171175,118.8245203,38.12796177,24.36892785,133.175093,1.606086959,8.226197869,24.18209283,8.123684868,2.621848294,0.072293922,9.615460832,2156.111926,2.160263663,1.50115556
