SampleN,Y_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Th_S,SumTS
F6_1_5,13.0785,21.282,47.258,5.7745,22.9765,4.5665,0.803,3.794,0.426,2.526,0.4425,1.076,0.77,8.1245,2.91520684
F6_1_6,14.918,25.1205,55.9365,6.7805,26.902,5.391,0.977,4.41,0.5055,2.8975,0.499,1.2045,0.8435,9.7415,1.51109573
F6_1_7,13.9825,23.029,52.653,6.2805,24.6025,4.9,0.894,4.0095,0.4585,2.69,0.472,1.14,0.8,8.8045,4.63084877
F6_1_8,15.1745,26.621,58.3205,6.924,26.981,5.345,0.947,4.301,0.4945,2.845,0.49,1.2065,0.8435,9.6545,3.20522347
F6_1_9,13.6445,24.0175,53.344,6.4375,25.2455,5.0045,0.871,4.0585,0.4605,2.6865,0.466,1.119,0.7805,9.942,4.65176224
F6_1_10,13.773,24.9075,54.091,6.3945,24.831,4.888,0.867,3.901,0.446,2.618,0.4575,1.107,0.774,9.233,1.42070151
F6_1_11,15.5755,27.8495,60.1105,7.072,26.9735,5.292,0.9415,4.3035,0.487,2.8375,0.499,1.2155,0.852,9.3815,1.4892505
F6_1_12,14.637,24.9355,55.224,6.679,26.013,5.2085,0.9215,4.2355,0.4865,2.8085,0.481,1.179,0.853,9.639,2.20822973
F6_1_13,12.9065,20.696,47.308,5.834,23.19,4.728,0.835,3.8985,0.442,2.5785,0.448,1.069,0.7385,8.7905,3.72312783
F6_1_14,13.5355,20.365,46.9305,5.7995,23.392,4.7875,0.8465,3.9955,0.4555,2.622,0.4515,1.088,0.7455,8.7475,4.27225963
F6_1_15,14.684,22.489,51.7135,6.337,25.142,5.122,0.914,4.234,0.482,2.789,0.483,1.158,0.7985,9.0935,3.86092665
Z1_1_5,11.77544784,24.04037278,49.18344166,5.442317075,20.82659637,4.078109973,0.797182721,3.693748536,0.489600096,2.526594686,0.448657825,1.177568989,0.940604648,7.515051778,3.77168863
Z1_1_6,11.9729841,24.91752948,50.55778315,5.563283197,21.37348823,4.205370519,0.821470205,3.83504436,0.508663531,2.597043313,0.451177884,1.203046477,0.981197123,7.668181854,5.03223922
Z1_1_7,11.32579619,23.27978647,47.30792271,5.224075114,20.00575762,3.921982298,0.773740681,3.609132312,0.480654942,2.436214467,0.42952308,1.14651989,0.914176823,7.195466568,0.76094019
Z1_1_9,11.21819222,23.22005037,47.07123381,5.175637606,19.7406354,3.840418221,0.761611729,3.538945575,0.466215058,2.392172084,0.424877462,1.129662386,0.890221152,6.880576747,4.43764244
Z1_1_11,11.77827184,24.63795446,49.70658927,5.466350126,20.89716156,4.088023297,0.809493793,3.732982193,0.499317762,2.493103223,0.448251086,1.188636912,0.94884827,7.483795794,3.0814277
Z1_1_12,13.15076823,26.49614642,53.79848522,5.94274473,22.73953231,4.445525173,0.892509309,4.047147393,0.540823912,2.753336449,0.499921044,1.3057542,1.043121967,8.433158969,2.33566698
Z1_1_13,11.24339077,23.25339151,47.03934119,5.222114591,19.81841285,3.920740467,0.778975918,3.562134744,0.489565767,2.407220169,0.445275117,1.136250303,0.905381233,7.01304219,1.91269051
Z1_1_14,10.13253163,21.23181772,43.07355349,4.694873098,17.98891499,3.522563432,0.700490504,3.209291083,0.425094852,2.143720025,0.383177776,1.00591605,0.794291914,5.843854031,2.92627147
Z1_1_15,9.840995258,20.75136912,41.97504852,4.634010477,17.65497874,3.489616883,0.673158952,3.136072884,0.417498584,2.114004838,0.382708481,0.977026546,0.779918849,5.972102245,2.9354537
Z1_2_6,10.15289406,19.67353859,40.19882909,4.732277436,17.82887348,3.538492464,0.689466442,3.282938556,0.430810009,2.223209261,0.392498819,1.042610279,0.826585491,6.265996556,2.75958693
Z1_2_7,11.09005758,21.46025205,43.63907216,5.137033497,19.34067154,3.886877082,0.763822884,3.56125976,0.462664329,2.382289541,0.430014345,1.117271336,0.928469165,6.386197734,5.6682473
Z1_2_8,9.610545068,18.14457496,36.8744184,4.398260149,16.57010457,3.240788505,0.642724735,3.037024032,0.393895243,2.037597635,0.362873202,0.962973902,0.775029759,5.656186809,1.02735104
Z1_2_9,9.039872533,17.52827584,35.56701725,4.146766499,15.53651566,3.101833783,0.602118857,2.896140091,0.372237536,1.931052715,0.343852926,0.900786656,0.736475517,4.450857134,2.1969899
Z1_2_10,9.46990738,18.24969924,37.17157054,4.346097909,16.27397259,3.20640081,0.631985247,3.036453138,0.394820469,2.04203972,0.357988001,0.937397638,0.773417619,4.727681849,0.80757404
Z1_2_11,11.15126258,22.22647762,45.2065654,5.296046584,19.84507697,3.885013381,0.734386159,3.607686648,0.467114251,2.408870003,0.426396393,1.114525818,0.9248921,6.477326897,6.07724915
Z1_2_12,10.73662483,21.03993429,42.87511031,4.981174231,18.83592687,3.685334721,0.71896605,3.483651274,0.446815996,2.286690178,0.409056983,1.083084032,0.877062082,5.680302764,2.85721262
