SampleN,Li_S,Be_S,Na_S,Mg_S,K_S,Ca_S,Sc_S,Ti_S,V_S,Cr_S,Mn_S,Fe_S,Co_S,Ni_S,Cu_S,Zn_S,Ga_S,Ge_S,As_S,Rb_S,Sr_S,Y_S,Zr_S,Nb_S,Mo_S,Cd_S,Sn_S,Sb_S,Cs_S,Ba_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Hf_S,Pb_S,Th_S
A1_3_5,11.81295281,0.775407877,232.7725945,3205.871661,2945.824694,4227.562379,2.79247129,545.611816,24.48829724,23.41911833,287.2884246,16470.23823,6.225778196,14.99912637,89.78175766,105.3827702,4.670006011,1.147730041,0.935070419,22.50144254,19.30862582,7.286598618,0.611491973,1.147939691,0.400822971,2.856757725,3.857663664,0.410993133,1.938677459,82.58534683,17.98482121,37.98576558,3.902587085,14.09405714,2.461803907,0.46894135,2.221402667,0.276947116,1.463311066,0.261774992,0.715419274,0.608934873,0.009046732,23.3234341,6.410743847
A1_3_6,6.872257284,0.420462585,159.3679192,1856.534997,1410.55764,2658.080275,1.547741726,314.4416704,14.35272875,13.13273451,193.4433069,10580.68098,4.311260111,9.352466443,47.09684978,70.51901885,2.553732538,0.944280121,2.09379457,11.60203643,9.285488977,4.437541359,1.915151788,0.626007742,0.227912192,1.357509269,2.979411055,0.265796452,1.095510949,46.52244788,11.36185281,25.12453764,2.412861933,8.550183542,1.54102942,0.287692042,1.381317213,0.170450278,0.894176438,0.157873804,0.426995788,0.359896995,0.033409003,10.13146253,7.254773213
A1_3_7,11.29596752,0.613126725,279.3366492,2972.698601,2824.626199,3807.958956,2.640455858,490.2332278,22.12220723,22.43485869,254.8943003,15403.70086,5.714129408,13.67220277,78.25565416,98.29035784,4.401258726,1.209974673,0.801548554,21.61373103,17.59395011,6.853771063,1.027990435,1.101457457,0.338794256,0.673935979,4.020446198,0.312794955,1.800443731,71.21538863,20.33351574,36.40378962,4.316065548,15.11903013,2.56515822,0.467675435,2.218893663,0.271663728,1.382835186,0.244545838,0.660049828,0.556374394,0.015192802,11.46770401,8.164928533
A1_3_8,12.74888126,0.832496217,301.8762585,3358.795287,3037.254521,4160.543107,2.876332351,552.7554562,26.8086319,25.09978772,373.2756851,19459.98979,7.469253669,15.86946644,83.5532264,117.4801413,5.343796918,1.483469999,5.5188452,23.74900263,19.41445842,8.129504792,0.928201143,1.397465259,0.464613876,3.009323353,4.332287986,0.330563658,1.926046508,84.10088405,28.96779001,55.93100113,5.87776786,20.08042006,3.289255027,0.571362203,2.787793698,0.32097602,1.675122828,0.292837908,0.770205498,0.659523241,0.003392225,17.69362628,8.89332344
A1_3_9,14.22876962,0.757547883,294.6455191,3948.535758,3461.681541,4535.28364,3.090287977,639.8045245,28.30230589,28.0685185,354.0002308,19509.87567,7.689679146,17.69978327,92.87001721,127.9771124,5.86390639,1.499809863,0.902833177,28.58441692,22.28218975,8.843296888,1.232465311,1.128554483,0.472684655,2.070694862,4.555315516,0.247853336,2.237817606,96.19338267,26.83390993,53.1810828,5.645439252,19.76879704,3.314987099,0.608175939,2.889233339,0.351952569,1.796365739,0.316770532,0.870461623,0.736173642,0.026515342,18.03839645,5.927499284
A1_3_10,12.25974892,0.785393672,295.5793325,3173.498116,2741.130152,3492.959648,2.689578616,566.6607507,24.56930086,24.15346064,318.6153694,16481.36738,6.796980886,15.50445443,69.47099391,88.87808542,4.978445718,1.20508802,0.820342976,23.6247914,17.22575188,7.744362823,1.12267204,1.108254253,0.396603719,2.154490813,4.443557229,0.277933832,1.956352029,85.01777974,22.34862381,46.04693771,4.767791694,16.80127825,2.862241393,0.542692661,2.56110715,0.301323965,1.585589905,0.276678258,0.769659558,0.652824003,0.01382837,26.16039909,8.827892496
A1_3_11,14.25696951,0.847466465,292.3655585,3918.472771,3342.968746,7045.189269,3.324314585,660.2938517,29.36297833,27.84393383,413.1279233,19755.13864,8.631459095,17.56517765,89.99710482,109.981658,5.69760653,1.42904812,1.07010249,28.61108902,24.295067,9.720575408,0.645839561,1.354025138,0.498331591,3.221305439,4.669512534,0.298124793,2.38081385,100.2834327,23.74192646,48.16637477,5.196887515,18.83225568,3.406992707,0.65213634,3.058480687,0.372848805,1.935724865,0.347688771,0.939926096,0.812542253,0.006008641,24.61044538,20.1204609
A1_3_12,13.79753184,0.854557594,282.7355263,3637.771173,3056.40283,4130.127946,3.179029269,677.1119434,29.66011163,29.47649266,399.9349803,19906.52308,7.98801129,17.6003577,73.17904335,101.3726598,5.712861852,1.472329128,0.980950537,26.69629903,20.02179391,8.980504028,0.668676495,1.490001246,0.465225953,2.368961632,4.647325672,0.345383458,2.208334218,97.23952838,24.58413307,51.71745191,5.288548615,18.86901018,3.281259723,0.606728508,2.922642111,0.356226595,1.864115138,0.330486842,0.893661483,0.75708296,0.010322116,20.88497948,12.67568497
A1_3_13,14.45039285,0.764667509,351.7267682,3995.983272,3545.961942,4893.981219,3.326638577,677.6643437,31.16981695,38.06572198,363.4699244,21023.6859,7.759843486,19.86707008,107.239468,140.2906045,5.757961929,1.567968151,0.928918651,29.69771858,20.20394835,8.913504708,1.570851254,1.583754888,0.487677975,2.794862038,4.79394512,0.35302868,2.400357148,93.19672273,25.42143983,49.16588306,5.261716985,18.78783205,3.202569049,0.579669685,2.882178568,0.352815964,1.825177374,0.323918595,0.879947058,0.747548437,0.028747552,22.50393094,8.653967043
A1_3_14,12.22903087,0.631543846,329.4222767,3206.683134,2912.041256,4491.399999,2.727978324,549.4612415,23.28322839,24.02914619,288.8879054,16226.51626,6.423087193,14.72371904,82.71974551,105.7229146,4.739836773,1.106321591,0.82642211,24.50156355,19.42640786,7.298463585,3.146166352,1.282173526,0.407416433,2.801065386,4.440509852,0.293369761,1.911468286,79.25149359,19.62436167,39.02636236,4.207440086,15.00553702,2.587450609,0.509894797,2.352090983,0.285083071,1.481318553,0.26389471,0.712129702,0.608670599,0.042912271,20.65890422,6.057485486
A1_3_15,12.86116137,0.636520913,345.1565275,3402.646131,3065.941324,5498.444338,2.722438491,572.5405604,25.16650565,24.96342034,318.5555597,17736.17462,6.766138877,15.83618048,93.36870961,140.6256921,5.2402092,1.233401181,4.911707937,27.43359071,21.89790798,7.856144562,0.932120704,1.650362898,0.44206553,3.544031501,4.66510472,0.295330435,2.27090971,84.74439195,22.38756017,44.17954162,4.71646658,16.64901519,2.852647093,0.542426069,2.506326216,0.310000893,1.575276625,0.284767662,0.764149586,0.671401524,0.015602684,21.04729392,5.611101491
A1_4_1,15.27734128,0.875952497,225.9243236,6837.077463,3377.406038,75394.96016,4.903938943,759.9587851,33.94981657,26.3168628,522.6279462,22935.34999,9.108680517,20.16071159,33.54416383,52.39789111,6.419813844,1.574416857,1.065957251,26.58936894,78.81638513,12.39130411,1.736980636,1.155049675,0.39879855,1.81423803,4.647232334,0.441756743,2.67905221,107.3807551,24.34439553,47.50144762,5.394439311,20.23943803,3.759669652,0.739499789,3.547997255,0.456702274,2.456918043,0.439372193,1.192991743,0.991525018,0.030294368,22.52056687,4.680160294
A1_4_2,20.00276547,1.027376989,271.1922076,7143.962706,4015.61271,32627.91087,5.681409888,973.7803017,41.71137516,32.53163452,533.2156554,27102.49853,10.66665186,24.39129209,32.35623834,57.26394419,7.779918374,1.790151179,1.669959407,31.81167251,40.40492636,12.6880005,1.670331429,1.552173514,0.351495524,4.966524353,4.953420792,0.473859129,3.314037723,135.450451,27.42543424,54.44044629,6.193818279,22.9874389,4.283250479,0.800724537,3.885874608,0.496551458,2.560992321,0.460578755,1.231259438,1.039608751,0.026427881,26.13224129,7.588805279
A1_4_3,19.29290763,1.29751572,205.7155514,8443.19409,4293.437079,17115.37816,5.848870406,1046.411266,43.51496679,36.42669456,580.7129446,29129.51475,11.81872218,27.04970551,37.3614987,70.48062045,7.85713523,2.00042294,1.502710406,32.36754749,27.09482674,13.97285787,2.038110266,2.089413512,0.45336203,2.943063578,5.047649546,0.754172791,3.586720177,139.219374,30.11724889,60.10520197,6.756817304,24.96356976,4.692603309,0.861390763,4.34643557,0.546986687,2.854176344,0.505639456,1.357322861,1.13154552,0.03965291,28.15283187,8.380790027
A1_4_5,21.24193446,1.25567859,197.0165221,7709.359205,3629.73031,12003.31401,5.603334205,1108.854987,43.15778981,42.70193763,523.5952676,27516.15524,11.30745885,26.23124921,33.39503873,67.90064512,7.892079686,1.976844236,1.379557276,29.38711913,25.10573124,12.90656436,2.009102828,1.732896943,0.451217443,2.25667038,5.242103363,0.615375604,3.460673006,134.5461463,28.25659628,56.93206388,6.584589095,24.49478052,4.527882963,0.849370083,4.202239917,0.528639117,2.792777799,0.496686344,1.34207024,1.135936892,0.036123506,30.61434498,7.064791816
A1_4_6,23.22631922,1.464540619,232.5453276,9026.038906,4254.524586,16702.1592,6.493203177,1211.695352,48.92081469,49.28361362,636.819693,31751.15871,13.04196256,30.04805311,41.09116008,81.32706653,9.198413489,2.270055625,1.607978646,35.18448475,29.94184833,15.32772829,3.204021069,2.097093423,0.487461859,2.987059452,5.544007035,0.6610591,4.023805695,164.0031614,32.57228542,64.21042818,7.562665828,28.03316819,5.271590317,0.991901625,4.833344504,0.610001556,3.231194807,0.578449575,1.579048613,1.294972862,0.071482152,30.99894761,7.061647773
A1_4_7,21.61776519,1.389424649,182.6897924,8254.724513,3913.573538,14310.01035,5.952314744,1090.297634,44.01463733,49.35885939,600.9330445,29016.91927,12.19418311,27.99506679,37.46404491,72.8826733,8.362334316,2.068328251,1.410785726,32.13233646,27.2629656,14.27500457,1.607396333,1.750917813,0.4600374,1.421089342,5.747531044,0.667649627,3.693318586,146.9065566,30.43890413,60.34113214,7.031595715,26.18977337,4.927821735,0.909404999,4.605727151,0.578631538,3.028556549,0.532393591,1.427021304,1.196684207,0.029026237,27.96417205,6.970992841
A1_4_8,20.48457902,1.255643859,565.3439652,7704.965872,3685.826258,11123.23116,5.296668578,1098.289701,42.19887682,35.02509384,520.4774671,27020.22289,11.09229579,25.30571093,31.4715631,61.83108199,7.772621121,1.906695744,1.808840681,29.32806391,24.42624487,12.81363272,1.788312309,1.857272322,0.392327056,4.762310228,5.182695451,0.731549695,3.45022195,132.3984472,29.03650165,58.88583605,6.718373459,24.98659823,4.721883835,0.8659802,4.332724671,0.531706787,2.775058586,0.487275618,1.323739022,1.101804771,0.029077917,31.41406129,7.400538457
A1_4_9,19.56200105,1.176446259,273.3410874,7128.79154,3482.429507,19468.09117,5.177740172,1001.464528,39.65432547,33.8163487,506.2679893,25401.90113,10.39647794,23.69835,34.76388411,69.27782323,7.469564227,1.906714441,1.510232983,29.52730776,28.02707788,12.37785183,2.393062736,1.854235409,0.381336532,1.479638478,4.957108622,0.661569175,3.255043559,125.7606823,29.63342964,60.67954666,6.768804541,24.64525638,4.518065757,0.824896575,4.10651937,0.508844319,2.716016783,0.472190748,1.27119191,1.052829908,0.037082056,24.61199672,11.52476728
A1_4_10,19.97857643,0.998843913,274.0418445,7084.794932,4000.775367,28077.09258,4.921984692,784.8682033,38.7132405,31.69134142,505.2452729,25355.97383,10.24557373,23.62263005,38.64483981,68.25639873,7.441075274,1.778688442,9.345576022,33.07657543,36.25701079,12.33237048,1.827601778,1.812814744,0.383168489,7.663488035,5.95165872,0.5924764,3.337785167,129.6232956,27.1664653,53.81561239,6.146804956,22.51746651,4.253444556,0.795031069,3.879268671,0.491892608,2.592443007,0.462496453,1.232900931,1.033900264,0.034636603,29.66236431,6.951333605
A1_4_11,19.50763457,1.062561366,248.7638913,6735.083958,3767.978031,17810.12631,4.711666182,932.3291103,39.35370265,35.58961072,478.3930124,26565.249,9.773668655,23.18271369,34.6976714,61.02302859,7.211546883,1.803958724,1.242233366,30.6585461,27.74323623,11.64188367,0.852872257,1.44192158,0.384215908,1.690166732,4.814670147,0.401128929,2.993718041,118.5385495,28.02120486,54.23856536,6.222417452,22.55415841,4.091507656,0.744394432,3.753711891,0.467251052,2.432347099,0.435889432,1.173836392,0.98022681,0.008253546,22.53558767,5.734927646
A1_4_12,20.16102448,0.944907906,291.2618491,6780.454692,4326.114698,15512.2078,4.945585707,1016.202399,39.86235547,32.5389208,501.1762015,25185.23968,10.16282795,22.85489606,35.60241101,71.95704439,7.530757717,1.769148394,1.082316664,34.05537435,26.76841642,14.83816072,2.913232809,1.768944731,0.425379362,3.275085986,4.934430412,0.422136495,3.230163509,126.1688965,28.38758982,58.83103046,6.515640528,23.67292166,4.476953068,0.809534731,4.177564716,0.562525667,3.139862935,0.570966151,1.62481508,1.415475347,0.045384395,28.74531199,24.35371593
A1_4_13,16.59263646,0.926293037,183.3637969,5295.11515,3191.198197,13418.32984,4.182390731,793.7128101,32.90035584,27.57913833,410.2328964,21421.19081,8.648557015,19.99702065,26.60937392,61.09047671,6.351985773,1.440612934,1.005078172,26.25001976,20.6611525,10.36756853,0.971908232,1.151410244,0.274463111,2.383583595,3.976365257,0.354361112,2.679780855,104.1595759,23.56605363,46.8234197,5.261009136,19.22142719,3.518725733,0.64259734,3.250784197,0.401801734,2.158412127,0.385618603,1.068488976,0.897467059,0.005793657,22.83570169,6.508703223
A1_4_14,19.47776086,1.070456154,237.9269857,6489.552504,3485.545212,13653.27428,4.849826486,929.4913342,38.3409023,32.69024886,503.1528797,25061.23927,10.81968657,23.05029229,34.10754235,63.46281255,7.119264287,1.693260575,1.175063421,29.6892195,24.57580474,11.52951899,1.350815378,1.416925781,0.36331991,1.346380359,4.581444065,0.523113518,3.187470605,123.9956536,26.08291567,52.30889473,5.97260557,21.95548052,4.077397804,0.764891187,3.741264762,0.468554319,2.44047065,0.439801203,1.17239512,1.00545531,0.015166113,24.25143409,6.405234843
A1_4_15,19.18262496,0.98178996,201.8035723,6209.859812,3610.156012,12492.83848,4.989585894,910.9800844,38.57765636,32.09264304,492.7445652,24363.05584,10.23150181,22.99122395,31.0330134,59.85118899,7.264570089,1.787296907,1.14547226,29.39934492,22.56607252,11.62147803,2.081314978,1.519259395,0.321386532,3.179368538,4.67060513,0.58645617,3.221860676,124.9644635,27.6727999,56.10523655,6.317692524,23.03686843,4.24422315,0.770263583,3.820455286,0.476333409,2.499526895,0.444635216,1.200420785,1.004117919,0.030779074,26.88287456,7.620824525
A2_1_1,11.90407435,0.70220327,248.6435938,3643.068786,2223.043589,2009.048276,3.399946796,783.5594064,29.07504256,29.43522104,186.3352955,17710.5898,6.763482164,14.8016445,25.73532447,37.32483439,6.02608297,1.408231438,0.900040265,25.86907241,12.60036703,9.005519666,6.214943747,1.016421224,0.215192542,1.832809995,4.764455475,0.549933447,2.255147356,80.2280946,25.89766367,52.51685291,5.421382014,18.8660327,3.253858557,0.573184711,2.999847588,0.362762714,1.957266119,0.334052537,0.914466249,0.749538242,0.182386465,23.5931757,22.21680011
