SampleN,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin,SumTS
A2_1_15,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908,4.28305784
A2_2_5,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092,3.59956276
A2_2_6,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092,3.67175536
A2_2_7,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092,5.87284298
A2_2_8,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092,4.73170575
A2_2_9,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092,7.20263991
A2_2_10,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092,4.22274933
A2_2_11,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092,6.40604933
A2_2_12,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092,4.55281768
A2_2_13,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092,5.69708636
A2_2_14,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092,5.785083
A2_2_15,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092,6.96029029
A2_3_1,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076,11.1553562
A2_3_4,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076,10.1387645
A2_3_5,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076,5.70933502
A2_3_6,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076,4.93086006
A2_3_7,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076,11.1689683
A2_3_8,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076,8.65291963
A2_3_9,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076,5.91388446
A2_3_10,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076,1.50115556
A2_3_11,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076,2.69239932
A2_3_12,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076,18.4061108
A2_3_13,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076,10.8818458
