SampleN,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilTypenum,AN_x,AP_x,AK_x
E8_1_13,7.4,122.8,6.22,7.2,13.42,1519.3486,17.64359882,0,271.2094,25.84211367,248.9
E8_1_14,7.4,143.1,6.83,9.24,16.07,1667.743,18.0642785,0,323.554,22.06822176,223.25
E8_1_15,7.49,122.1,3.56,5.46,9.02,1624.3766,19.64767779,0,326.2644,25.5489022,282.7
F1_1_6,7.49,329.0,5.76,7.91,13.67,2454.4366,20.05263984,0,323.554,26.90851106,119.6
F1_1_7,7.55,395.0,5.66,17.81,23.47,2378.7148,29.04872532,0,326.2644,42.54044338,175.65
F1_1_8,7.67,284.0,4.74,11.62,16.36,2185.0906,20.38913706,0,245.63,32.23552894,183.1
F1_1_9,7.77,172.6,4.08,7.8,11.88,1831.214,20.25423466,0,271.2094,14.6,121.65
F1_1_10,7.78,241.0,5.52,13.6,19.12,1793.7766,21.41868134,0,225.302,11.16516469,108.95
F1_1_11,7.71,234.0,8.39,8.81,17.2,2024.1606,20.12213495,0,322.8764,23.68957659,101.3
F1_1_12,8.01,229.0,7.18,13.75,20.93,2259.6266,13.09383344,0,282.898,34.86513487,120.4
F1_1_13,8.23,194.0,4.13,7.46,11.59,2289.2716,19.91831999,0,303.9036,19.85473121,127.35
F1_1_14,7.87,196.2,4.29,10.17,14.46,2293.5066,20.63924258,0,369.292,17.5831202,143.55
F1_1_15,7.88,248.0,4.53,9.35,13.88,2104.9644,17.56848049,0,324.5704,19.33811802,189.3
F1_2_5,7.83,53.5,5.37,2.75,8.12,518.1946,11.78788404,0,193.116,7.288629738,106.35
F1_2_6,7.85,43.0,5.73,3.27,9.0,902.7326,12.74811653,0,267.652,9.395865819,110.7
F1_2_7,7.86,48.5,11.54,2.75,14.29,784.1526,10.26873685,0,189.728,8.09255485,94.95
F1_2_8,7.78,37.3,6.8,3.12,9.92,658.7966,11.92738562,0,299.838,6.776958342,90.25
F1_2_9,7.74,48.1,14.76,3.62,18.38,790.9286,11.12265879,0,215.985,8.091908092,88.75
F1_2_10,7.24,64.4,5.42,3.4,8.82,910.1862,9.794693672,0,188.034,6.190095847,140.55
F1_2_11,7.33,50.4,7.19,4.15,11.34,851.9126,21.33362977,0,181.5968,10.28601103,123.5
F1_2_12,7.09,82.5,6.52,3.08,9.6,908.3228,13.85909914,0,189.728,9.073505364,120.5
F1_2_13,7.35,84.9,7.28,5.36,12.64,946.7766,15.0945036,0,215.985,6.388245628,116.25
F1_2_14,7.41,125.5,6.57,4.79,11.36,853.6066,20.00511842,0,189.728,8.477619086,106.25
F1_2_15,7.42,70.3,2.91,5.89,8.8,1087.548,9.782519462,0,214.291,11.99328376,111.95
F1_3_5,7.75,121.4,0.4,5.7,6.1,967.1046,11.33579833,0,248.6792,7.976708013,155.05
F1_3_6,7.62,125.8,9.11,6.63,15.74,1044.351,7.839439052,0,269.346,9.079661558,157.65
F1_3_8,7.6,119.9,9.74,6.59,16.33,977.2686,7.01009677,0,215.985,9.571286142,149.1
F1_3_9,7.48,128.8,8.11,4.61,12.72,1039.269,12.36586042,0,271.2094,6.699732011,149.35
F1_3_10,7.52,133.4,5.08,5.98,11.06,984.0446,12.83356886,0,267.652,9.292565947,141.0
F1_3_11,7.9,127.3,3.25,6.7,9.95,1009.9628,9.148594713,0,271.2094,6.982125758,136.5
F1_3_12,7.92,142.0,2.93,9.82,12.75,1036.5586,7.572311062,0,265.958,8.981318857,177.7
F1_3_13,7.95,125.2,11.06,8.61,19.67,868.8526,9.73204726,0,322.8764,6.993006993,148.4
F1_3_15,7.98,151.2,5.01,6.6,11.61,853.6066,8.767434967,0,267.652,7.089507529,136.75
